Date,Page,Proj,Sum of PageViews
20100404-,Megan_Fox,en,5467
20100404-,Hillary_Clinton,en,208
20100404-,Bernie_Sanders,en,184
20100404-,John_Kasich,en,48
20100404-,Donald_Trump,en,1666
20100404-,Shah_Rukh_Khan,en,227
20100404-,Independence_Day_(United_States),en,604
20100404-,Apache_Hadoop,en,2
20100404-,String_theory,en,1460
20100404-,Jack_Ma,en,19
20100404-,Ryan_Gosling,en,1619
20100404-,Ted_Cruz,en,5
20100404-,Sundar_Pichai,en,1
20100405-,Jack_Ma,en,79
20100405-,Sundar_Pichai,en,10
20100405-,Shah_Rukh_Khan,en,498
20100405-,Apache_Hadoop,en,92
20100405-,Bernie_Sanders,en,329
20100405-,Ryan_Gosling,en,4705
20100405-,Hillary_Clinton,en,584
20100405-,Donald_Trump,en,7431
20100405-,Independence_Day_(United_States),en,1798
20100405-,String_theory,en,3995
20100405-,Ted_Cruz,en,17
20100405-,Megan_Fox,en,15414
20100405-,John_Kasich,en,160
20100406-,Jack_Ma,en,83
20100406-,Sundar_Pichai,en,6
20100406-,Shah_Rukh_Khan,en,424
20100406-,String_theory,en,3781
20100406-,Independence_Day_(United_States),en,1835
20100406-,John_Kasich,en,220
20100406-,Megan_Fox,en,13255
20100406-,Apache_Hadoop,en,1
20100406-,Bernie_Sanders,en,345
20100406-,Ted_Cruz,en,26
20100406-,Donald_Trump,en,4953
20100406-,Hillary_Clinton,en,531
20100406-,Ryan_Gosling,en,3624
20100407-,Jack_Ma,en,63
20100407-,Sundar_Pichai,en,10
20100407-,Bernie_Sanders,en,348
20100407-,Megan_Fox,en,14475
20100407-,Independence_Day_(United_States),en,1898
20100407-,John_Kasich,en,116
20100407-,Shah_Rukh_Khan,en,429
20100407-,Ted_Cruz,en,17
20100407-,Donald_Trump,en,4411
20100407-,Apache_Hadoop,en,1
20100407-,Hillary_Clinton,en,556
20100407-,String_theory,en,5255
20100407-,Ryan_Gosling,en,3207
20100408-,Independence_Day_(United_States),en,1866
20100408-,Sundar_Pichai,en,11
20100408-,Donald_Trump,en,4088
20100408-,Apache_Hadoop,en,4
20100408-,Ryan_Gosling,en,2828
20100408-,Bernie_Sanders,en,316
20100408-,Megan_Fox,en,18945
20100408-,Hillary_Clinton,en,584
20100408-,John_Kasich,en,110
20100408-,Ted_Cruz,en,18
20100408-,Shah_Rukh_Khan,en,406
20100408-,String_theory,en,4497
20100408-,Jack_Ma,en,78
20100409-,John_Kasich,en,126
20100409-,Shah_Rukh_Khan,en,444
20100409-,Jack_Ma,en,72
20100409-,Megan_Fox,en,14138
20100409-,Bernie_Sanders,en,366
20100409-,Hillary_Clinton,en,645
20100409-,String_theory,en,3903
20100409-,Donald_Trump,en,4008
20100409-,Apache_Hadoop,en,3
20100409-,Independence_Day_(United_States),en,1652
20100409-,Ryan_Gosling,en,2928
20100409-,Ted_Cruz,en,22
20100409-,Sundar_Pichai,en,12
20100410-,String_theory,en,3027
20100410-,Independence_Day_(United_States),en,1280
20100410-,Sundar_Pichai,en,3
20100410-,Megan_Fox,en,12468
20100410-,Ted_Cruz,en,24
20100410-,Bernie_Sanders,en,310
20100410-,John_Kasich,en,105
20100410-,Ryan_Gosling,en,3070
20100410-,Donald_Trump,en,3835
20100410-,Apache_Hadoop,en,1
20100410-,Hillary_Clinton,en,734
20100410-,Jack_Ma,en,57
20100410-,Shah_Rukh_Khan,en,406
20100411-,Apache_Hadoop,en,2
20100411-,Independence_Day_(United_States),en,1307
20100411-,John_Kasich,en,83
20100411-,Jack_Ma,en,49
20100411-,Donald_Trump,en,4068
20100411-,Megan_Fox,en,17350
20100411-,Sundar_Pichai,en,9
20100411-,Ted_Cruz,en,21
20100411-,Shah_Rukh_Khan,en,366
20100411-,String_theory,en,3091
20100411-,Hillary_Clinton,en,575
20100411-,Bernie_Sanders,en,329
20100411-,Ryan_Gosling,en,3112
20100412-,Shah_Rukh_Khan,en,371
20100412-,Jack_Ma,en,58
20100412-,Sundar_Pichai,en,12
20100412-,Ted_Cruz,en,26
20100412-,Donald_Trump,en,7767
20100412-,Ryan_Gosling,en,3031
20100412-,String_theory,en,3775
20100412-,Apache_Hadoop,en,1
20100412-,Independence_Day_(United_States),en,1822
20100412-,John_Kasich,en,95
20100412-,Bernie_Sanders,en,336
20100412-,Hillary_Clinton,en,714
20100412-,Megan_Fox,en,18327
20100413-,Ryan_Gosling,en,2857
20100413-,Bernie_Sanders,en,333
20100413-,Hillary_Clinton,en,760
20100413-,Apache_Hadoop,en,5
20100413-,Ted_Cruz,en,28
20100413-,Sundar_Pichai,en,13
20100413-,John_Kasich,en,116
20100413-,Independence_Day_(United_States),en,1924
20100413-,Shah_Rukh_Khan,en,360
20100413-,Donald_Trump,en,5596
20100413-,Jack_Ma,en,113
20100413-,String_theory,en,3698
20100413-,Megan_Fox,en,11948
20100414-,Bernie_Sanders,en,384
20100414-,Jack_Ma,en,87
20100414-,John_Kasich,en,137
20100414-,Ted_Cruz,en,18
20100414-,Shah_Rukh_Khan,en,325
20100414-,Hillary_Clinton,en,710
20100414-,Apache_Hadoop,en,7
20100414-,Megan_Fox,en,11441
20100414-,String_theory,en,4054
20100414-,Ryan_Gosling,en,2673
20100414-,Sundar_Pichai,en,9
20100414-,Donald_Trump,en,4643
20100414-,Independence_Day_(United_States),en,1919
20100415-,String_theory,en,3748
20100415-,Apache_Hadoop,en,1
20100415-,Hillary_Clinton,en,992
20100415-,John_Kasich,en,163
20100415-,Shah_Rukh_Khan,en,312
20100415-,Donald_Trump,en,4354
20100415-,Ryan_Gosling,en,4653
20100415-,Jack_Ma,en,83
20100415-,Bernie_Sanders,en,598
20100415-,Sundar_Pichai,en,5
20100415-,Ted_Cruz,en,17
20100415-,Megan_Fox,en,11956
20100415-,Independence_Day_(United_States),en,1960
20100416-,Apache_Hadoop,en,2
20100416-,Bernie_Sanders,en,545
20100416-,Ryan_Gosling,en,3364
20100416-,Hillary_Clinton,en,658
20100416-,Independence_Day_(United_States),en,1840
20100416-,John_Kasich,en,117
20100416-,Jack_Ma,en,80
20100416-,Megan_Fox,en,11869
