Page,Date,PageViews
Apache_Hadoop,2010-04-04,2.0
Apache_Hadoop,2010-04-05,92.0
Apache_Hadoop,2010-04-06,1.0
Apache_Hadoop,2010-04-07,1.0
Apache_Hadoop,2010-04-08,4.0
Apache_Hadoop,2010-04-09,3.0
Apache_Hadoop,2010-04-10,1.0
Apache_Hadoop,2010-04-11,2.0
Apache_Hadoop,2010-04-12,1.0
Apache_Hadoop,2010-04-13,5.0
Apache_Hadoop,2010-04-14,7.0
Apache_Hadoop,2010-04-15,1.0
Apache_Hadoop,2010-04-16,2.0
Apache_Hadoop,2010-04-17,1.0
Apache_Hadoop,2010-04-18,4.0
Apache_Hadoop,2010-04-19,4.0
Apache_Hadoop,2010-04-20,
Apache_Hadoop,2010-04-21,3.0
Apache_Hadoop,2010-04-22,7.0
Apache_Hadoop,2010-04-23,2.0
Apache_Hadoop,2010-04-24,1.0
Apache_Hadoop,2010-04-25,6.0
Apache_Hadoop,2010-04-26,1.0
Apache_Hadoop,2010-04-27,1.0
Apache_Hadoop,2010-04-28,1.0
Apache_Hadoop,2010-04-29,4.0
Apache_Hadoop,2010-04-30,3.0
Apache_Hadoop,2010-05-01,3.0
Apache_Hadoop,2010-05-02,5.0
Apache_Hadoop,2010-05-03,5.0
Apache_Hadoop,2010-05-04,1.0
Apache_Hadoop,2010-05-05,6.0
Apache_Hadoop,2010-05-06,4.0
Apache_Hadoop,2010-05-07,1.0
Apache_Hadoop,2010-05-08,4.0
Apache_Hadoop,2010-05-09,2.0
Apache_Hadoop,2010-05-10,2.0
Apache_Hadoop,2010-05-11,3.0
Apache_Hadoop,2010-05-12,6.0
Apache_Hadoop,2010-05-13,2.0
Apache_Hadoop,2010-05-14,1.0
Apache_Hadoop,2010-05-15,1.0
Apache_Hadoop,2010-05-16,3.0
Apache_Hadoop,2010-05-17,3.0
Apache_Hadoop,2010-05-18,2.0
Apache_Hadoop,2010-05-19,3.0
Apache_Hadoop,2010-05-20,7.0
Apache_Hadoop,2010-05-21,3.0
Apache_Hadoop,2010-05-22,3.0
Apache_Hadoop,2010-05-23,2.0
Apache_Hadoop,2010-05-24,1.0
Apache_Hadoop,2010-05-25,2.0
Apache_Hadoop,2010-05-26,2.0
Apache_Hadoop,2010-05-27,4.0
Apache_Hadoop,2010-05-28,3.0
Apache_Hadoop,2010-05-29,4.0
Apache_Hadoop,2010-05-30,1.0
Apache_Hadoop,2010-05-31,1.0
Apache_Hadoop,2010-06-01,1.0
Apache_Hadoop,2010-06-02,4.0
Apache_Hadoop,2010-06-03,2.0
Apache_Hadoop,2010-06-04,3.0
Apache_Hadoop,2010-06-05,
Apache_Hadoop,2010-06-06,1.0
Apache_Hadoop,2010-06-07,6.0
Apache_Hadoop,2010-06-08,5.0
Apache_Hadoop,2010-06-09,4.0
Apache_Hadoop,2010-06-10,4.0
Apache_Hadoop,2010-06-11,1.0
Apache_Hadoop,2010-06-12,1.0
Apache_Hadoop,2010-06-13,2.0
Apache_Hadoop,2010-06-14,
Apache_Hadoop,2010-06-15,1.0
Apache_Hadoop,2010-06-16,
Apache_Hadoop,2010-06-17,2.0
Apache_Hadoop,2010-06-18,3.0
Apache_Hadoop,2010-06-19,2.0
Apache_Hadoop,2010-06-20,2.0
Apache_Hadoop,2010-06-21,3.0
Apache_Hadoop,2010-06-22,5.0
Apache_Hadoop,2010-06-23,2.0
Apache_Hadoop,2010-06-24,1.0
Apache_Hadoop,2010-06-25,1.0
Apache_Hadoop,2010-06-26,2.0
Apache_Hadoop,2010-06-27,
Apache_Hadoop,2010-06-28,1.0
Apache_Hadoop,2010-06-29,3.0
Apache_Hadoop,2010-06-30,7.0
Apache_Hadoop,2010-07-01,1.0
Apache_Hadoop,2010-07-02,3.0
Apache_Hadoop,2010-07-03,2.0
Apache_Hadoop,2010-07-04,1.0
Apache_Hadoop,2010-07-05,1.0
Apache_Hadoop,2010-07-06,2.0
Apache_Hadoop,2010-07-07,3.0
Apache_Hadoop,2010-07-08,
Apache_Hadoop,2010-07-09,
Apache_Hadoop,2010-07-10,1.0
Apache_Hadoop,2010-07-11,3.0
Apache_Hadoop,2010-07-12,19.0
Apache_Hadoop,2010-07-13,8.0
Apache_Hadoop,2010-07-14,6.0
Apache_Hadoop,2010-07-15,3.0
Apache_Hadoop,2010-07-16,6.0
Apache_Hadoop,2010-07-17,3.0
Apache_Hadoop,2010-07-18,5.0
Apache_Hadoop,2010-07-19,7.0
Apache_Hadoop,2010-07-20,6.0
Apache_Hadoop,2010-07-21,5.0
Apache_Hadoop,2010-07-22,2.0
Apache_Hadoop,2010-07-23,2.0
Apache_Hadoop,2010-07-24,2.0
Apache_Hadoop,2010-07-25,1.0
Apache_Hadoop,2010-07-26,13.0
Apache_Hadoop,2010-07-27,1.0
Apache_Hadoop,2010-07-28,3.0
Apache_Hadoop,2010-07-29,7.0
Apache_Hadoop,2010-07-30,3.0
Apache_Hadoop,2010-07-31,
Apache_Hadoop,2010-08-01,
Apache_Hadoop,2010-08-02,1.0
Apache_Hadoop,2010-08-03,5.0
Apache_Hadoop,2010-08-04,3.0
Apache_Hadoop,2010-08-05,2.0
Apache_Hadoop,2010-08-06,4.0
Apache_Hadoop,2010-08-07,1.0
Apache_Hadoop,2010-08-08,
Apache_Hadoop,2010-08-09,4.0
Apache_Hadoop,2010-08-10,1.0
Apache_Hadoop,2010-08-11,6.0
Apache_Hadoop,2010-08-12,4.0
Apache_Hadoop,2010-08-13,3.0
Apache_Hadoop,2010-08-14,5.0
Apache_Hadoop,2010-08-15,1.0
Apache_Hadoop,2010-08-16,5.0
Apache_Hadoop,2010-08-17,2.0
Apache_Hadoop,2010-08-18,2.0
Apache_Hadoop,2010-08-19,6.0
Apache_Hadoop,2010-08-20,6.0
Apache_Hadoop,2010-08-21,2.0
Apache_Hadoop,2010-08-22,2.0
Apache_Hadoop,2010-08-23,4.0
Apache_Hadoop,2010-08-24,1.0
Apache_Hadoop,2010-08-25,3.0
Apache_Hadoop,2010-08-26,8.0
Apache_Hadoop,2010-08-27,9.0
Apache_Hadoop,2010-08-28,1.0
Apache_Hadoop,2010-08-29,1.0
Apache_Hadoop,2010-08-30,2.0
Apache_Hadoop,2010-08-31,2.0
Apache_Hadoop,2010-09-01,6.0
Apache_Hadoop,2010-09-02,4.0
Apache_Hadoop,2010-09-03,1.0
Apache_Hadoop,2010-09-04,
Apache_Hadoop,2010-09-05,4.0
Apache_Hadoop,2010-09-06,5.0
Apache_Hadoop,2010-09-07,4.0
Apache_Hadoop,2010-09-08,3.0
Apache_Hadoop,2010-09-09,3.0
Apache_Hadoop,2010-09-10,2.0
Apache_Hadoop,2010-09-11,1.0
Apache_Hadoop,2010-09-12,1.0
Apache_Hadoop,2010-09-13,4.0
Apache_Hadoop,2010-09-14,4.0
Apache_Hadoop,2010-09-15,6.0
Apache_Hadoop,2010-09-16,5.0
Apache_Hadoop,2010-09-17,7.0
Apache_Hadoop,2010-09-18,1.0
Apache_Hadoop,2010-09-19,1.0
Apache_Hadoop,2010-09-20,4.0
Apache_Hadoop,2010-09-21,8.0
Apache_Hadoop,2010-09-22,4.0
Apache_Hadoop,2010-09-23,7.0
Apache_Hadoop,2010-09-24,6.0
Apache_Hadoop,2010-09-25,
Apache_Hadoop,2010-09-26,1.0
Apache_Hadoop,2010-09-27,14.0
Apache_Hadoop,2010-09-28,11.0
Apache_Hadoop,2010-09-29,3.0
Apache_Hadoop,2010-09-30,6.0
Apache_Hadoop,2010-10-01,8.0
Apache_Hadoop,2010-10-02,2.0
Apache_Hadoop,2010-10-03,1.0
Apache_Hadoop,2010-10-04,3.0
Apache_Hadoop,2010-10-05,10.0
Apache_Hadoop,2010-10-06,5.0
Apache_Hadoop,2010-10-07,6.0
Apache_Hadoop,2010-10-08,5.0
Apache_Hadoop,2010-10-09,3.0
Apache_Hadoop,2010-10-10,3.0
Apache_Hadoop,2010-10-11,4.0
Apache_Hadoop,2010-10-12,2.0
Apache_Hadoop,2010-10-13,8.0
Apache_Hadoop,2010-10-14,4.0
Apache_Hadoop,2010-10-15,7.0
Apache_Hadoop,2010-10-16,2.0
Apache_Hadoop,2010-10-17,1.0
Apache_Hadoop,2010-10-18,1.0
Apache_Hadoop,2010-10-19,6.0
Apache_Hadoop,2010-10-20,2.0
Apache_Hadoop,2010-10-21,1.0
Apache_Hadoop,2010-10-22,5.0
Apache_Hadoop,2010-10-23,1.0
Apache_Hadoop,2010-10-24,1.0
Apache_Hadoop,2010-10-25,8.0
Apache_Hadoop,2010-10-26,8.0
Apache_Hadoop,2010-10-27,5.0
Apache_Hadoop,2010-10-28,6.0
Apache_Hadoop,2010-10-29,7.0
Apache_Hadoop,2010-10-30,3.0
Apache_Hadoop,2010-10-31,
Apache_Hadoop,2010-11-01,7.0
Apache_Hadoop,2010-11-02,7.0
Apache_Hadoop,2010-11-03,4.0
Apache_Hadoop,2010-11-04,5.0
Apache_Hadoop,2010-11-05,4.0
Apache_Hadoop,2010-11-06,2.0
Apache_Hadoop,2010-11-07,5.0
Apache_Hadoop,2010-11-08,2.0
Apache_Hadoop,2010-11-09,8.0
Apache_Hadoop,2010-11-10,5.0
Apache_Hadoop,2010-11-11,7.0
Apache_Hadoop,2010-11-12,5.0
Apache_Hadoop,2010-11-13,3.0
Apache_Hadoop,2010-11-14,
Apache_Hadoop,2010-11-15,5.0
Apache_Hadoop,2010-11-16,5.0
