Page,Date,Sum of PageViews
Apache_Hadoop,2010-04-30,160.0
Apache_Hadoop,2010-05-31,90.0
Apache_Hadoop,2010-06-30,69.0
Apache_Hadoop,2010-07-31,119.0
Apache_Hadoop,2010-08-31,96.0
Apache_Hadoop,2010-09-30,126.0
Apache_Hadoop,2010-10-31,128.0
Apache_Hadoop,2010-11-30,144.0
Apache_Hadoop,2010-12-31,155.0
Apache_Hadoop,2011-01-31,226.0
Apache_Hadoop,2011-02-28,218.0
Apache_Hadoop,2011-03-31,7284.0
Apache_Hadoop,2011-04-30,22041.0
Apache_Hadoop,2011-05-31,23533.0
Apache_Hadoop,2011-06-30,26214.0
Apache_Hadoop,2011-07-31,30437.0
Apache_Hadoop,2011-08-31,26727.0
Apache_Hadoop,2011-09-30,27363.0
Apache_Hadoop,2011-10-31,40597.0
Apache_Hadoop,2011-11-30,52962.0
Apache_Hadoop,2011-12-31,38667.0
Apache_Hadoop,2012-01-31,48218.0
Apache_Hadoop,2012-02-29,54983.0
Apache_Hadoop,2012-03-31,52701.0
Apache_Hadoop,2012-04-30,46755.0
Apache_Hadoop,2012-05-31,53776.0
Apache_Hadoop,2012-06-30,64268.0
Apache_Hadoop,2012-07-31,59526.0
Apache_Hadoop,2012-08-31,65522.0
Apache_Hadoop,2012-09-30,65091.0
Apache_Hadoop,2012-10-31,89703.0
Apache_Hadoop,2012-11-30,83483.0
Apache_Hadoop,2012-12-31,70835.0
Apache_Hadoop,2013-01-31,87777.0
Apache_Hadoop,2013-02-28,84024.0
Apache_Hadoop,2013-03-31,113311.0
Apache_Hadoop,2013-04-30,108875.0
Apache_Hadoop,2013-05-31,99531.0
Apache_Hadoop,2013-06-30,104274.0
Apache_Hadoop,2013-07-31,96920.0
Apache_Hadoop,2013-08-31,90926.0
Apache_Hadoop,2013-09-30,90631.0
Apache_Hadoop,2013-10-31,97797.0
Apache_Hadoop,2013-11-30,93571.0
Apache_Hadoop,2013-12-31,105513.0
Apache_Hadoop,2014-01-31,104466.0
Apache_Hadoop,2014-02-28,104884.0
Apache_Hadoop,2014-03-31,114182.0
Apache_Hadoop,2014-04-30,109866.0
Apache_Hadoop,2014-05-31,102164.0
Apache_Hadoop,2014-06-30,101699.0
Apache_Hadoop,2014-07-31,109366.0
Apache_Hadoop,2014-08-31,98245.0
Apache_Hadoop,2014-09-30,114694.0
Apache_Hadoop,2014-10-31,110751.0
Apache_Hadoop,2014-11-30,121751.0
Apache_Hadoop,2014-12-31,95267.0
Apache_Hadoop,2015-01-31,104800.0
Apache_Hadoop,2015-02-28,109174.0
Apache_Hadoop,2015-03-31,118030.0
Apache_Hadoop,2015-04-30,125597.0
Apache_Hadoop,2015-05-31,94636.0
Apache_Hadoop,2015-06-30,101526.0
Apache_Hadoop,2015-07-31,102885.0
Apache_Hadoop,2015-08-31,103368.0
Apache_Hadoop,2015-09-30,128434.0
Apache_Hadoop,2015-10-31,138419.0
Apache_Hadoop,2015-11-30,111706.0
Apache_Hadoop,2015-12-31,89657.0
Apache_Hadoop,2016-01-31,93792.0
Apache_Hadoop,2016-02-29,112214.0
Apache_Hadoop,2016-03-31,122756.0
Apache_Hadoop,2016-04-30,92587.0
Apache_Spark,2013-10-31,2.0
Apache_Spark,2013-11-30,2.0
Apache_Spark,2013-12-31,1.0
Apache_Spark,2014-01-31,2.0
Apache_Spark,2014-02-28,3.0
Apache_Spark,2014-03-31,3928.0
Apache_Spark,2014-04-30,6465.0
Apache_Spark,2014-05-31,7667.0
Apache_Spark,2014-06-30,8769.0
Apache_Spark,2014-07-31,10010.0
Apache_Spark,2014-08-31,8788.0
Apache_Spark,2014-09-30,10621.0
Apache_Spark,2014-10-31,14407.0
Apache_Spark,2014-11-30,17089.0
Apache_Spark,2014-12-31,16640.0
Apache_Spark,2015-01-31,20050.0
Apache_Spark,2015-02-28,21010.0
Apache_Spark,2015-03-31,25931.0
Apache_Spark,2015-04-30,29288.0
Apache_Spark,2015-05-31,26307.0
Apache_Spark,2015-06-30,36331.0
Apache_Spark,2015-07-31,32426.0
Apache_Spark,2015-08-31,30889.0
Apache_Spark,2015-09-30,36131.0
Apache_Spark,2015-10-31,39207.0
Apache_Spark,2015-11-30,39034.0
Apache_Spark,2015-12-31,35295.0
Apache_Spark,2016-01-31,38587.0
Apache_Spark,2016-02-29,42658.0
Apache_Spark,2016-03-31,47813.0
Apache_Spark,2016-04-30,45374.0
Bernie_Sanders,2010-04-30,10737.0
Bernie_Sanders,2010-05-31,13372.0
Bernie_Sanders,2010-06-30,7572.0
Bernie_Sanders,2010-07-31,9750.0
Bernie_Sanders,2010-08-31,13251.0
Bernie_Sanders,2010-09-30,14363.0
Bernie_Sanders,2010-10-31,16525.0
Bernie_Sanders,2010-11-30,25816.0
Bernie_Sanders,2010-12-31,123046.0
Bernie_Sanders,2011-01-31,21208.0
Bernie_Sanders,2011-02-28,16435.0
Bernie_Sanders,2011-03-31,18604.0
Bernie_Sanders,2011-04-30,40863.0
Bernie_Sanders,2011-05-31,20047.0
Bernie_Sanders,2011-06-30,20322.0
Bernie_Sanders,2011-07-31,29290.0
Bernie_Sanders,2011-08-31,30717.0
Bernie_Sanders,2011-09-30,17497.0
Bernie_Sanders,2011-10-31,23818.0
Bernie_Sanders,2011-11-30,26951.0
Bernie_Sanders,2011-12-31,23749.0
Bernie_Sanders,2012-01-31,43014.0
Bernie_Sanders,2012-02-29,19782.0
Bernie_Sanders,2012-03-31,23274.0
Bernie_Sanders,2012-04-30,15642.0
Bernie_Sanders,2012-05-31,15874.0
Bernie_Sanders,2012-06-30,20866.0
Bernie_Sanders,2012-07-31,19928.0
Bernie_Sanders,2012-08-31,24601.0
Bernie_Sanders,2012-09-30,27609.0
Bernie_Sanders,2012-10-31,24382.0
Bernie_Sanders,2012-11-30,59905.0
Bernie_Sanders,2012-12-31,21664.0
Bernie_Sanders,2013-01-31,22029.0
Bernie_Sanders,2013-02-28,15256.0
Bernie_Sanders,2013-03-31,17718.0
Bernie_Sanders,2013-04-30,22786.0
Bernie_Sanders,2013-05-31,16260.0
Bernie_Sanders,2013-06-30,15437.0
Bernie_Sanders,2013-07-31,12308.0
Bernie_Sanders,2013-08-31,9979.0
Bernie_Sanders,2013-09-30,13714.0
Bernie_Sanders,2013-10-31,24153.0
Bernie_Sanders,2013-11-30,20523.0
Bernie_Sanders,2013-12-31,21318.0
Bernie_Sanders,2014-01-31,21101.0
Bernie_Sanders,2014-02-28,18926.0
Bernie_Sanders,2014-03-31,34320.0
Bernie_Sanders,2014-04-30,25724.0
Bernie_Sanders,2014-05-31,30501.0
Bernie_Sanders,2014-06-30,21324.0
Bernie_Sanders,2014-07-31,29281.0
Bernie_Sanders,2014-08-31,28858.0
Bernie_Sanders,2014-09-30,44328.0
Bernie_Sanders,2014-10-31,28678.0
Bernie_Sanders,2014-11-30,58475.0
Bernie_Sanders,2014-12-31,33130.0
Bernie_Sanders,2015-01-31,35070.0
Bernie_Sanders,2015-02-28,36187.0
Bernie_Sanders,2015-03-31,47566.0
Bernie_Sanders,2015-04-30,185382.0
Bernie_Sanders,2015-05-31,358602.0
Bernie_Sanders,2015-06-30,325457.0
Bernie_Sanders,2015-07-31,733075.0
Bernie_Sanders,2015-08-31,1332113.0
Bernie_Sanders,2015-09-30,1089945.0
Bernie_Sanders,2015-10-31,1431820.0
Bernie_Sanders,2015-11-30,638351.0
Bernie_Sanders,2015-12-31,700395.0
Bernie_Sanders,2016-01-31,1727456.0
Bernie_Sanders,2016-02-29,3588261.0
Bernie_Sanders,2016-03-31,2026130.0
Bernie_Sanders,2016-04-30,1337991.0
Deep_Learning,2010-07-31,1.0
Deep_Learning,2010-08-31,1.0
Deep_Learning,2010-09-30,
Deep_Learning,2010-10-31,
Deep_Learning,2010-11-30,3.0
Deep_Learning,2010-12-31,
Deep_Learning,2011-01-31,2.0
Deep_Learning,2011-02-28,1.0
Deep_Learning,2011-03-31,15.0
Deep_Learning,2011-04-30,41.0
Deep_Learning,2011-05-31,59.0
Deep_Learning,2011-06-30,49.0
Deep_Learning,2011-07-31,254.0
Deep_Learning,2011-08-31,445.0
Deep_Learning,2011-09-30,424.0
Deep_Learning,2011-10-31,672.0
Deep_Learning,2011-11-30,239.0
Deep_Learning,2011-12-31,79.0
Deep_Learning,2012-01-31,106.0
Deep_Learning,2012-02-29,88.0
Deep_Learning,2012-03-31,61.0
Deep_Learning,2012-04-30,85.0
Deep_Learning,2012-05-31,91.0
Deep_Learning,2012-06-30,97.0
Deep_Learning,2012-07-31,130.0
Deep_Learning,2012-08-31,90.0
Deep_Learning,2012-09-30,91.0
Deep_Learning,2012-10-31,193.0
Deep_Learning,2012-11-30,481.0
Deep_Learning,2012-12-31,301.0
Deep_Learning,2013-01-31,257.0
Deep_Learning,2013-02-28,168.0
Deep_Learning,2013-03-31,602.0
Deep_Learning,2013-04-30,493.0
Deep_Learning,2013-05-31,364.0
Deep_Learning,2013-06-30,502.0
Deep_Learning,2013-07-31,381.0
Deep_Learning,2013-08-31,456.0
Deep_Learning,2013-09-30,421.0
Deep_Learning,2013-10-31,449.0
