Date,Volume
2011-01-02,7.0
2011-01-03,3.0
2011-01-04,5.0
2011-01-05,5.0
2011-01-06,5.0
2011-01-07,4.0
2011-01-08,8.0
2011-01-09,6.0
2011-01-10,7.0
2011-01-11,6.0
2011-01-12,6.0
2011-01-13,4.0
2011-01-14,5.0
2011-01-15,6.0
2011-01-16,6.0
2011-01-17,4.0
2011-01-18,3.0
2011-01-19,4.0
2011-01-20,3.0
2011-01-21,4.0
2011-01-22,7.0
2011-01-23,5.0
2011-01-24,5.0
2011-01-25,3.0
2011-01-26,4.0
2011-01-27,3.0
2011-01-28,3.0
2011-01-29,2.0
2011-01-30,6.0
2011-01-31,6.0
2011-02-01,6.0
2011-02-02,6.0
2011-02-03,6.0
2011-02-04,8.0
2011-02-05,7.0
2011-02-06,7.0
2011-02-07,14.0
2011-02-08,18.0
2011-02-09,14.0
2011-02-10,15.0
2011-02-11,15.0
2011-02-12,28.0
2011-02-13,7.0
2011-02-14,5.0
2011-02-15,7.0
2011-02-16,4.0
2011-02-17,8.0
2011-02-18,9.0
2011-02-19,7.0
2011-02-20,8.0
2011-02-21,6.0
2011-02-22,8.0
2011-02-23,11.0
2011-02-24,9.0
2011-02-25,8.0
2011-02-26,6.0
2011-02-27,11.0
2011-02-28,8.0
2011-03-01,11.0
2011-03-02,14.0
2011-03-03,15.0
2011-03-04,8.0
2011-03-05,9.0
2011-03-06,10.0
2011-03-07,12.0
2011-03-08,7.0
2011-03-09,16.0
2011-03-10,8.0
2011-03-11,12.0
2011-03-12,7.0
2011-03-13,9.0
2011-03-14,15.0
2011-03-15,14.0
2011-03-16,17.0
2011-03-17,13.0
2011-03-18,14.0
2011-03-19,14.0
2011-03-20,10.0
2011-03-21,14.0
2011-03-22,12.0
2011-03-23,15.0
2011-03-24,12.0
2011-03-25,12.0
2011-03-26,11.0
2011-03-27,9.0
2011-03-28,6.0
2011-03-29,7.0
2011-03-30,11.0
2011-03-31,7.0
2011-04-01,9.0
2011-04-02,10.0
2011-04-03,9.0
2011-04-04,4.0
2011-04-05,10.0
2011-04-06,5.0
2011-04-07,6.0
2011-04-08,6.0
2011-04-09,8.0
2011-04-10,7.0
2011-04-11,5.0
2011-04-12,10.0
2011-04-13,13.0
2011-04-14,6.0
2011-04-15,11.0
2011-04-16,10.0
2011-04-17,7.0
2011-04-18,11.0
2011-04-19,12.0
2011-04-20,10.0
2011-04-21,8.0
2011-04-22,10.0
2011-04-23,12.0
2011-04-24,7.0
2011-04-25,7.0
2011-04-26,7.0
2011-04-27,8.0
2011-04-28,6.0
2011-04-29,8.0
2011-04-30,6.0
2011-05-01,8.0
2011-05-02,6.0
2011-05-03,8.0
2011-05-04,9.0
2011-05-05,5.0
2011-05-06,9.0
2011-05-07,9.0
2011-05-08,8.0
2011-05-09,8.0
2011-05-10,9.0
2011-05-11,11.0
2011-05-12,7.0
2011-05-13,8.0
2011-05-14,8.0
2011-05-15,7.0
2011-05-16,5.0
2011-05-17,4.0
2011-05-18,5.0
2011-05-19,6.0
2011-05-20,6.0
2011-05-21,6.0
2011-05-22,7.0
2011-05-23,4.0
2011-05-24,7.0
2011-05-25,6.0
2011-05-26,6.0
2011-05-27,7.0
2011-05-28,11.0
2011-05-29,8.0
2011-05-30,6.0
2011-05-31,6.0
2011-06-01,7.0
2011-06-02,12.0
2011-06-03,5.0
2011-06-04,8.0
2011-06-05,8.0
2011-06-06,8.0
2011-06-07,12.0
2011-06-08,10.0
2011-06-09,12.0
2011-06-10,12.0
2011-06-11,11.0
2011-06-12,9.0
2011-06-13,6.0
2011-06-14,7.0
2011-06-15,8.0
2011-06-16,7.0
2011-06-17,8.0
2011-06-18,7.0
2011-06-19,10.0
2011-06-20,13.0
2011-06-21,16.0
2011-06-22,14.0
2011-06-23,17.0
2011-06-24,14.0
2011-06-25,16.0
2011-06-26,8.0
2011-06-27,5.0
2011-06-28,3.0
2011-06-29,7.0
2011-06-30,6.0
2011-07-01,7.0
2011-07-02,9.0
2011-07-03,8.0
2011-07-04,11.0
2011-07-05,8.0
2011-07-06,7.0
2011-07-07,7.0
2011-07-08,6.0
2011-07-09,8.0
2011-07-10,7.0
2011-07-11,6.0
2011-07-12,9.0
2011-07-13,7.0
2011-07-14,7.0
2011-07-15,6.0
2011-07-16,4.0
2011-07-17,7.0
2011-07-18,7.0
2011-07-19,8.0
2011-07-20,9.0
2011-07-21,11.0
2011-07-22,7.0
2011-07-23,9.0
2011-07-24,8.0
2011-07-25,10.0
2011-07-26,8.0
2011-07-27,5.0
2011-07-28,8.0
2011-07-29,5.0
2011-07-30,8.0
2011-07-31,7.0
2011-08-01,7.0
2011-08-02,8.0
2011-08-03,11.0
2011-08-04,8.0
2011-08-05,7.0
2011-08-06,5.0
2011-08-07,8.0
2011-08-08,6.0
2011-08-09,7.0
2011-08-10,5.0
2011-08-11,6.0
2011-08-12,6.0
2011-08-13,6.0
2011-08-14,7.0
2011-08-15,4.0
2011-08-16,6.0
2011-08-17,7.0
2011-08-18,10.0
2011-08-19,6.0
2011-08-20,4.0
2011-08-21,6.0
2011-08-22,3.0
2011-08-23,4.0
2011-08-24,5.0
2011-08-25,5.0
2011-08-26,5.0
2011-08-27,6.0
2011-08-28,9.0
2011-08-29,13.0
2011-08-30,12.0
2011-08-31,10.0
2011-09-01,10.0
2011-09-02,6.0
2011-09-03,9.0
2011-09-04,8.0
2011-09-05,11.0
2011-09-06,10.0
2011-09-07,9.0
2011-09-08,13.0
2011-09-09,10.0
2011-09-10,13.0
2011-09-11,10.0
2011-09-12,13.0
2011-09-13,15.0
2011-09-14,14.0
2011-09-15,9.0
2011-09-16,11.0
2011-09-17,11.0
2011-09-18,10.0
2011-09-19,9.0
2011-09-20,12.0
2011-09-21,10.0
2011-09-22,11.0
2011-09-23,12.0
2011-09-24,15.0
2011-09-25,9.0
2011-09-26,11.0
2011-09-27,12.0
2011-09-28,11.0
2011-09-29,10.0
2011-09-30,9.0
2011-10-01,14.0
2011-10-02,9.0
2011-10-03,20.0
2011-10-04,19.0
2011-10-05,16.0
2011-10-06,16.0
2011-10-07,16.0
2011-10-08,25.0
2011-10-09,8.0
2011-10-10,8.0
2011-10-11,7.0
2011-10-12,7.0
2011-10-13,5.0
2011-10-14,7.0
2011-10-15,6.0
2011-10-16,7.0
2011-10-17,8.0
2011-10-18,6.0
2011-10-19,6.0
2011-10-20,5.0
2011-10-21,4.0
2011-10-22,7.0
2011-10-23,7.0
2011-10-24,6.0
2011-10-25,7.0
2011-10-26,6.0
2011-10-27,5.0
2011-10-28,7.0
2011-10-29,3.0
2011-10-30,8.0
2011-10-31,9.0
2011-11-01,8.0
2011-11-02,10.0
2011-11-03,11.0
2011-11-04,6.0
2011-11-05,11.0
2011-11-06,7.0
2011-11-07,5.0
2011-11-08,8.0
2011-11-09,6.0
2011-11-10,9.0
2011-11-11,6.0
2011-11-12,5.0
2011-11-13,8.0
2011-11-14,4.0
2011-11-15,4.0
2011-11-16,5.0
2011-11-17,5.0
2011-11-18,8.0
2011-11-19,8.0
2011-11-20,8.0
2011-11-21,8.0
2011-11-22,7.0
2011-11-23,5.0
2011-11-24,9.0
2011-11-25,5.0
2011-11-26,8.0
2011-11-27,8.0
2011-11-28,9.0
2011-11-29,8.0
2011-11-30,7.0
2011-12-01,11.0
2011-12-02,8.0
2011-12-03,10.0
2011-12-04,8.0
2011-12-05,9.0
2011-12-06,12.0
2011-12-07,15.0
2011-12-08,17.0
2011-12-09,11.0
2011-12-10,8.0
2011-12-11,8.0
2011-12-12,7.0
2011-12-13,6.0
2011-12-14,8.0
2011-12-15,7.0
2011-12-16,8.0
2011-12-17,7.0
2011-12-18,9.0
2011-12-19,6.0
2011-12-20,8.0
2011-12-21,7.0
2011-12-22,5.0
2011-12-23,9.0
2011-12-24,8.0
2011-12-25,8.0
2011-12-26,11.0
2011-12-27,8.0
2011-12-28,10.0
2011-12-29,11.0
2011-12-30,16.0
2011-12-31,6.0
2012-01-01,7.0
2012-01-02,4.0
2012-01-03,3.0
2012-01-04,7.0
2012-01-05,5.0
2012-01-06,5.0
2012-01-07,6.0
2012-01-08,8.0
2012-01-09,8.0
2012-01-10,9.0
2012-01-11,8.0
2012-01-12,7.0
2012-01-13,8.0
2012-01-14,10.0
2012-01-15,8.0
2012-01-16,5.0
2012-01-17,6.0
2012-01-18,8.0
2012-01-19,9.0
2012-01-20,8.0
2012-01-21,5.0
2012-01-22,7.0
2012-01-23,8.0
2012-01-24,8.0
2012-01-25,8.0
2012-01-26,5.0
2012-01-27,6.0
2012-01-28,6.0
2012-01-29,7.0
2012-01-30,5.0
2012-01-31,5.0
2012-02-01,6.0
2012-02-02,8.0
2012-02-03,6.0
2012-02-04,6.0
2012-02-05,8.0
2012-02-06,10.0
2012-02-07,15.0
2012-02-08,9.0
2012-02-09,7.0
2012-02-10,14.0
2012-02-11,8.0
2012-02-12,9.0
2012-02-13,6.0
2012-02-14,6.0
2012-02-15,10.0
2012-02-16,8.0
2012-02-17,10.0
2012-02-18,9.0
2012-02-19,8.0
2012-02-20,6.0
2012-02-21,5.0
2012-02-22,5.0
2012-02-23,6.0
2012-02-24,4.0
2012-02-25,4.0
2012-02-26,7.0
2012-02-27,7.0
2012-02-28,6.0
2012-02-29,6.0
2012-03-01,6.0
