Date,Volume
2011-01-02,11.0
2011-01-03,4.0
2011-01-04,12.0
2011-01-05,10.0
2011-01-06,10.0
2011-01-07,9.0
2011-01-08,13.0
2011-01-09,11.0
2011-01-10,7.0
2011-01-11,9.0
2011-01-12,12.0
2011-01-13,11.0
2011-01-14,10.0
2011-01-15,10.0
2011-01-16,11.0
2011-01-17,11.0
2011-01-18,12.0
2011-01-19,7.0
2011-01-20,7.0
2011-01-21,9.0
2011-01-22,10.0
2011-01-23,9.0
2011-01-24,11.0
2011-01-25,11.0
2011-01-26,11.0
2011-01-27,7.0
2011-01-28,10.0
2011-01-29,10.0
2011-01-30,11.0
2011-01-31,10.0
2011-02-01,9.0
2011-02-02,8.0
2011-02-03,13.0
2011-02-04,9.0
2011-02-05,12.0
2011-02-06,13.0
2011-02-07,20.0
2011-02-08,23.0
2011-02-09,15.0
2011-02-10,24.0
2011-02-11,16.0
2011-02-12,34.0
2011-02-13,15.0
2011-02-14,14.0
2011-02-15,27.0
2011-02-16,16.0
2011-02-17,22.0
2011-02-18,27.0
2011-02-19,25.0
2011-02-20,16.0
2011-02-21,12.0
2011-02-22,22.0
2011-02-23,23.0
2011-02-24,20.0
2011-02-25,16.0
2011-02-26,13.0
2011-02-27,23.0
2011-02-28,20.0
2011-03-01,18.0
2011-03-02,23.0
2011-03-03,28.0
2011-03-04,15.0
2011-03-05,18.0
2011-03-06,21.0
2011-03-07,26.0
2011-03-08,24.0
2011-03-09,30.0
2011-03-10,23.0
2011-03-11,27.0
2011-03-12,18.0
2011-03-13,20.0
2011-03-14,34.0
2011-03-15,27.0
2011-03-16,26.0
2011-03-17,24.0
2011-03-18,29.0
2011-03-19,28.0
2011-03-20,22.0
2011-03-21,18.0
2011-03-22,23.0
2011-03-23,23.0
2011-03-24,17.0
2011-03-25,16.0
2011-03-26,16.0
2011-03-27,22.0
2011-03-28,18.0
2011-03-29,20.0
2011-03-30,20.0
2011-03-31,15.0
2011-04-01,23.0
2011-04-02,23.0
2011-04-03,18.0
2011-04-04,13.0
2011-04-05,22.0
2011-04-06,20.0
2011-04-07,17.0
2011-04-08,13.0
2011-04-09,15.0
2011-04-10,15.0
2011-04-11,11.0
2011-04-12,20.0
2011-04-13,24.0
2011-04-14,16.0
2011-04-15,17.0
2011-04-16,25.0
2011-04-17,14.0
2011-04-18,15.0
2011-04-19,15.0
2011-04-20,16.0
2011-04-21,12.0
2011-04-22,9.0
2011-04-23,19.0
2011-04-24,16.0
2011-04-25,12.0
2011-04-26,15.0
2011-04-27,18.0
2011-04-28,7.0
2011-04-29,11.0
2011-04-30,23.0
2011-05-01,13.0
2011-05-02,23.0
2011-05-03,20.0
2011-05-04,16.0
2011-05-05,17.0
2011-05-06,29.0
2011-05-07,24.0
2011-05-08,14.0
