Date,Volume
2011-01-02,22.0
2011-01-03,12.0
2011-01-04,23.0
2011-01-05,19.0
2011-01-06,23.0
2011-01-07,16.0
2011-01-08,28.0
2011-01-09,21.0
2011-01-10,16.0
2011-01-11,20.0
2011-01-12,20.0
2011-01-13,12.0
2011-01-14,18.0
2011-01-15,17.0
2011-01-16,21.0
2011-01-17,22.0
2011-01-18,19.0
2011-01-19,13.0
2011-01-20,13.0
2011-01-21,14.0
2011-01-22,16.0
2011-01-23,16.0
2011-01-24,16.0
2011-01-25,14.0
2011-01-26,13.0
2011-01-27,9.0
2011-01-28,15.0
2011-01-29,4.0
2011-01-30,24.0
2011-01-31,22.0
2011-02-01,17.0
2011-02-02,17.0
2011-02-03,21.0
2011-02-04,23.0
2011-02-05,16.0
2011-02-06,27.0
2011-02-07,38.0
2011-02-08,38.0
2011-02-09,59.0
2011-02-10,56.0
2011-02-11,41.0
2011-02-12,73.0
2011-02-13,23.0
2011-02-14,15.0
2011-02-15,21.0
2011-02-16,19.0
2011-02-17,25.0
2011-02-18,33.0
2011-02-19,37.0
2011-02-20,25.0
2011-02-21,22.0
2011-02-22,32.0
2011-02-23,20.0
2011-02-24,20.0
2011-02-25,25.0
2011-02-26,25.0
2011-02-27,38.0
2011-02-28,19.0
2011-03-01,26.0
2011-03-02,32.0
2011-03-03,38.0
2011-03-04,21.0
2011-03-05,27.0
2011-03-06,37.0
2011-03-07,25.0
2011-03-08,25.0
2011-03-09,34.0
2011-03-10,21.0
2011-03-11,31.0
2011-03-12,18.0
2011-03-13,33.0
2011-03-14,66.0
2011-03-15,43.0
2011-03-16,60.0
2011-03-17,46.0
2011-03-18,53.0
2011-03-19,46.0
2011-03-20,35.0
2011-03-21,31.0
2011-03-22,37.0
2011-03-23,36.0
2011-03-24,29.0
2011-03-25,30.0
2011-03-26,23.0
2011-03-27,34.0
2011-03-28,16.0
2011-03-29,29.0
2011-03-30,35.0
2011-03-31,22.0
2011-04-01,28.0
2011-04-02,32.0
2011-04-03,30.0
2011-04-04,40.0
2011-04-05,63.0
2011-04-06,61.0
2011-04-07,40.0
2011-04-08,34.0
2011-04-09,35.0
2011-04-10,26.0
2011-04-11,35.0
2011-04-12,37.0
2011-04-13,51.0
2011-04-14,15.0
2011-04-15,21.0
2011-04-16,42.0
2011-04-17,21.0
2011-04-18,29.0
2011-04-19,33.0
2011-04-20,29.0
2011-04-21,18.0
2011-04-22,29.0
2011-04-23,41.0
2011-04-24,24.0
2011-04-25,17.0
2011-04-26,23.0
2011-04-27,20.0
2011-04-28,20.0
2011-04-29,18.0
2011-04-30,29.0
2011-05-01,26.0
2011-05-02,65.0
2011-05-03,48.0
2011-05-04,56.0
2011-05-05,49.0
2011-05-06,78.0
2011-05-07,78.0
2011-05-08,26.0
2011-05-09,16.0
2011-05-10,18.0
2011-05-11,31.0
2011-05-12,14.0
2011-05-13,17.0
2011-05-14,14.0
2011-05-15,24.0
2011-05-16,15.0
2011-05-17,9.0
2011-05-18,16.0
2011-05-19,20.0
2011-05-20,20.0
2011-05-21,20.0
2011-05-22,29.0
2011-05-23,29.0
2011-05-24,40.0
2011-05-25,43.0
2011-05-26,49.0
2011-05-27,42.0
2011-05-28,62.0
2011-05-29,26.0
2011-05-30,13.0
2011-05-31,18.0
2011-06-01,33.0
2011-06-02,41.0
2011-06-03,18.0
2011-06-04,35.0
2011-06-05,28.0
2011-06-06,20.0
2011-06-07,40.0
2011-06-08,41.0
2011-06-09,29.0
2011-06-10,39.0
2011-06-11,43.0
2011-06-12,35.0
2011-06-13,30.0
2011-06-14,25.0
2011-06-15,28.0
2011-06-16,38.0
2011-06-17,35.0
2011-06-18,28.0
2011-06-19,33.0
2011-06-20,36.0
2011-06-21,35.0
2011-06-22,54.0
2011-06-23,37.0
2011-06-24,35.0
2011-06-25,43.0
2011-06-26,26.0
2011-06-27,20.0
2011-06-28,19.0
2011-06-29,13.0
2011-06-30,21.0
2011-07-01,24.0
2011-07-02,37.0
2011-07-03,30.0
2011-07-04,41.0
2011-07-05,36.0
2011-07-06,36.0
2011-07-07,34.0
2011-07-08,27.0
2011-07-09,41.0
2011-07-10,28.0
2011-07-11,30.0
2011-07-12,38.0
2011-07-13,40.0
2011-07-14,35.0
2011-07-15,39.0
2011-07-16,28.0
2011-07-17,25.0
2011-07-18,15.0
2011-07-19,26.0
2011-07-20,18.0
2011-07-21,26.0
2011-07-22,19.0
2011-07-23,21.0
2011-07-24,29.0
2011-07-25,60.0
2011-07-26,29.0
2011-07-27,32.0
2011-07-28,46.0
2011-07-29,38.0
2011-07-30,35.0
2011-07-31,23.0
2011-08-01,23.0
2011-08-02,32.0
2011-08-03,23.0
2011-08-04,21.0
2011-08-05,24.0
2011-08-06,34.0
