Date,Volume
2011-01-02,28.0
2011-01-03,17.0
2011-01-04,22.0
2011-01-05,20.0
2011-01-06,29.0
2011-01-07,24.0
2011-01-08,30.0
2011-01-09,34.0
2011-01-10,31.0
2011-01-11,33.0
2011-01-12,34.0
2011-01-13,30.0
2011-01-14,32.0
2011-01-15,33.0
2011-01-16,32.0
2011-01-17,22.0
2011-01-18,28.0
2011-01-19,21.0
2011-01-20,16.0
2011-01-21,25.0
2011-01-22,26.0
2011-01-23,28.0
2011-01-24,25.0
2011-01-25,22.0
2011-01-26,16.0
2011-01-27,18.0
2011-01-28,14.0
2011-01-29,7.0
2011-01-30,37.0
2011-01-31,34.0
2011-02-01,30.0
2011-02-02,26.0
2011-02-03,30.0
2011-02-04,37.0
2011-02-05,32.0
2011-02-06,40.0
2011-02-07,36.0
2011-02-08,48.0
2011-02-09,46.0
2011-02-10,63.0
2011-02-11,66.0
2011-02-12,92.0
2011-02-13,39.0
2011-02-14,27.0
2011-02-15,34.0
2011-02-16,31.0
2011-02-17,48.0
2011-02-18,44.0
2011-02-19,52.0
2011-02-20,35.0
2011-02-21,23.0
2011-02-22,30.0
2011-02-23,25.0
2011-02-24,34.0
2011-02-25,34.0
2011-02-26,28.0
2011-02-27,60.0
2011-02-28,37.0
2011-03-01,49.0
2011-03-02,62.0
2011-03-03,58.0
2011-03-04,35.0
2011-03-05,51.0
2011-03-06,53.0
2011-03-07,45.0
2011-03-08,30.0
2011-03-09,50.0
2011-03-10,36.0
2011-03-11,40.0
2011-03-12,28.0
2011-03-13,49.0
2011-03-14,80.0
2011-03-15,78.0
2011-03-16,80.0
2011-03-17,73.0
2011-03-18,80.0
2011-03-19,75.0
2011-03-20,51.0
2011-03-21,44.0
2011-03-22,70.0
2011-03-23,51.0
2011-03-24,45.0
2011-03-25,54.0
2011-03-26,44.0
2011-03-27,50.0
2011-03-28,46.0
2011-03-29,55.0
2011-03-30,64.0
2011-03-31,36.0
2011-04-01,71.0
2011-04-02,69.0
2011-04-03,49.0
2011-04-04,50.0
2011-04-05,78.0
2011-04-06,70.0
2011-04-07,39.0
2011-04-08,37.0
2011-04-09,42.0
2011-04-10,36.0
2011-04-11,32.0
2011-04-12,29.0
2011-04-13,48.0
2011-04-14,40.0
2011-04-15,39.0
2011-04-16,43.0
2011-04-17,41.0
2011-04-18,31.0
2011-04-19,16.0
2011-04-20,40.0
2011-04-21,28.0
2011-04-22,37.0
2011-04-23,32.0
2011-04-24,34.0
2011-04-25,45.0
2011-04-26,40.0
2011-04-27,40.0
2011-04-28,34.0
2011-04-29,33.0
2011-04-30,47.0
2011-05-01,39.0
2011-05-02,55.0
2011-05-03,55.0
2011-05-04,64.0
2011-05-05,44.0
2011-05-06,55.0
2011-05-07,87.0
2011-05-08,42.0
2011-05-09,32.0
2011-05-10,38.0
2011-05-11,48.0
2011-05-12,22.0
2011-05-13,31.0
2011-05-14,46.0
2011-05-15,37.0
2011-05-16,22.0
2011-05-17,17.0
2011-05-18,37.0
2011-05-19,34.0
2011-05-20,27.0
2011-05-21,33.0
2011-05-22,44.0
2011-05-23,27.0
2011-05-24,35.0
2011-05-25,27.0
2011-05-26,23.0
2011-05-27,35.0
2011-05-28,52.0
2011-05-29,43.0
2011-05-30,22.0
2011-05-31,22.0
2011-06-01,38.0
2011-06-02,35.0
2011-06-03,25.0
2011-06-04,31.0
2011-06-05,45.0
2011-06-06,33.0
2011-06-07,44.0
2011-06-08,46.0
2011-06-09,49.0
2011-06-10,52.0
2011-06-11,49.0
2011-06-12,45.0
2011-06-13,41.0
2011-06-14,48.0
2011-06-15,51.0
2011-06-16,38.0
2011-06-17,43.0
2011-06-18,54.0
2011-06-19,56.0
2011-06-20,32.0
2011-06-21,47.0
2011-06-22,60.0
2011-06-23,45.0
2011-06-24,51.0
2011-06-25,68.0
2011-06-26,40.0
2011-06-27,25.0
2011-06-28,29.0
2011-06-29,25.0
2011-06-30,31.0
2011-07-01,34.0
2011-07-02,31.0
2011-07-03,40.0
2011-07-04,35.0
2011-07-05,32.0
2011-07-06,39.0
2011-07-07,23.0
2011-07-08,37.0
2011-07-09,52.0
2011-07-10,44.0
2011-07-11,44.0
2011-07-12,48.0
2011-07-13,44.0
2011-07-14,45.0
2011-07-15,42.0
2011-07-16,36.0
2011-07-17,40.0
2011-07-18,39.0
2011-07-19,61.0
2011-07-20,33.0
2011-07-21,83.0
2011-07-22,51.0
2011-07-23,63.0
2011-07-24,45.0
2011-07-25,72.0
2011-07-26,49.0
2011-07-27,33.0
2011-07-28,57.0
2011-07-29,52.0
2011-07-30,39.0
2011-07-31,37.0
2011-08-01,27.0
2011-08-02,32.0
2011-08-03,33.0
2011-08-04,23.0
2011-08-05,26.0
2011-08-06,24.0
2011-08-07,37.0
2011-08-08,26.0
2011-08-09,26.0
2011-08-10,23.0
2011-08-11,26.0
2011-08-12,35.0
2011-08-13,27.0
2011-08-14,40.0
2011-08-15,34.0
2011-08-16,47.0
2011-08-17,50.0
2011-08-18,69.0
2011-08-19,42.0
2011-08-20,45.0
2011-08-21,34.0
2011-08-22,15.0
2011-08-23,27.0
2011-08-24,28.0
2011-08-25,31.0
2011-08-26,19.0
2011-08-27,28.0
2011-08-28,45.0
2011-08-29,54.0
2011-08-30,39.0
2011-08-31,36.0
2011-09-01,45.0
2011-09-02,32.0
2011-09-03,34.0
2011-09-04,40.0
2011-09-05,51.0
2011-09-06,52.0
2011-09-07,42.0
2011-09-08,58.0
2011-09-09,39.0
2011-09-10,51.0
2011-09-11,42.0
2011-09-12,36.0
2011-09-13,46.0
2011-09-14,39.0
2011-09-15,28.0
2011-09-16,34.0
2011-09-17,34.0
2011-09-18,46.0
2011-09-19,54.0
2011-09-20,75.0
2011-09-21,77.0
2011-09-22,74.0
2011-09-23,65.0
2011-09-24,67.0
2011-09-25,48.0
2011-09-26,37.0
2011-09-27,48.0
2011-09-28,44.0
2011-09-29,40.0
2011-09-30,40.0
2011-10-01,45.0
2011-10-02,46.0
2011-10-03,41.0
2011-10-04,61.0
2011-10-05,42.0
2011-10-06,39.0
2011-10-07,38.0
2011-10-08,45.0
2011-10-09,40.0
2011-10-10,51.0
2011-10-11,43.0
2011-10-12,35.0
2011-10-13,30.0
2011-10-14,17.0
2011-10-15,30.0
2011-10-16,39.0
2011-10-17,37.0
2011-10-18,41.0
2011-10-19,37.0
2011-10-20,36.0
2011-10-21,37.0
2011-10-22,31.0
2011-10-23,37.0
2011-10-24,28.0
2011-10-25,25.0
2011-10-26,22.0
2011-10-27,51.0
2011-10-28,23.0
2011-10-29,40.0
2011-10-30,45.0
2011-10-31,72.0
2011-11-01,57.0
2011-11-02,60.0
2011-11-03,59.0
2011-11-04,51.0
2011-11-05,53.0
2011-11-06,45.0
2011-11-07,33.0
2011-11-08,60.0
2011-11-09,34.0
2011-11-10,63.0
2011-11-11,41.0
2011-11-12,43.0
2011-11-13,39.0
2011-11-14,17.0
2011-11-15,25.0
2011-11-16,28.0
2011-11-17,34.0
2011-11-18,39.0
2011-11-19,42.0
2011-11-20,41.0
2011-11-21,57.0
2011-11-22,36.0
2011-11-23,43.0
2011-11-24,65.0
