Date,Volume
2011-01-02,23.0
2011-01-03,12.0
2011-01-04,17.0
2011-01-05,12.0
2011-01-06,20.0
2011-01-07,14.0
2011-01-08,15.0
2011-01-09,27.0
2011-01-10,24.0
2011-01-11,17.0
2011-01-12,20.0
2011-01-13,20.0
2011-01-14,20.0
2011-01-15,19.0
2011-01-16,22.0
2011-01-17,25.0
2011-01-18,21.0
2011-01-19,12.0
2011-01-20,16.0
2011-01-21,15.0
2011-01-22,22.0
2011-01-23,23.0
2011-01-24,17.0
2011-01-25,12.0
2011-01-26,24.0
2011-01-27,16.0
2011-01-28,13.0
2011-01-29,12.0
2011-01-30,30.0
2011-01-31,34.0
2011-02-01,31.0
2011-02-02,28.0
2011-02-03,29.0
2011-02-04,32.0
2011-02-05,33.0
2011-02-06,31.0
2011-02-07,25.0
2011-02-08,45.0
2011-02-09,37.0
2011-02-10,58.0
2011-02-11,34.0
2011-02-12,100.0
2011-02-13,32.0
2011-02-14,26.0
2011-02-15,35.0
2011-02-16,25.0
2011-02-17,34.0
2011-02-18,38.0
2011-02-19,44.0
2011-02-20,33.0
2011-02-21,26.0
2011-02-22,41.0
2011-02-23,49.0
2011-02-24,47.0
2011-02-25,31.0
2011-02-26,27.0
2011-02-27,49.0
2011-02-28,33.0
2011-03-01,46.0
2011-03-02,64.0
2011-03-03,61.0
2011-03-04,41.0
2011-03-05,41.0
2011-03-06,48.0
2011-03-07,40.0
2011-03-08,39.0
2011-03-09,48.0
2011-03-10,48.0
2011-03-11,59.0
2011-03-12,35.0
2011-03-13,43.0
2011-03-14,68.0
2011-03-15,46.0
2011-03-16,56.0
2011-03-17,34.0
2011-03-18,72.0
2011-03-19,62.0
2011-03-20,44.0
2011-03-21,48.0
2011-03-22,49.0
2011-03-23,46.0
2011-03-24,31.0
2011-03-25,41.0
2011-03-26,32.0
2011-03-27,44.0
2011-03-28,41.0
2011-03-29,60.0
2011-03-30,49.0
2011-03-31,31.0
2011-04-01,52.0
2011-04-02,64.0
2011-04-03,40.0
2011-04-04,29.0
2011-04-05,90.0
2011-04-06,57.0
2011-04-07,28.0
2011-04-08,45.0
2011-04-09,41.0
2011-04-10,32.0
2011-04-11,21.0
2011-04-12,46.0
2011-04-13,47.0
2011-04-14,28.0
2011-04-15,34.0
2011-04-16,44.0
2011-04-17,31.0
2011-04-18,24.0
2011-04-19,30.0
2011-04-20,33.0
2011-04-21,20.0
2011-04-22,35.0
2011-04-23,42.0
2011-04-24,33.0
2011-04-25,21.0
2011-04-26,26.0
2011-04-27,21.0
2011-04-28,18.0
2011-04-29,17.0
2011-04-30,28.0
2011-05-01,30.0
2011-05-02,40.0
2011-05-03,18.0
2011-05-04,50.0
2011-05-05,29.0
2011-05-06,52.0
2011-05-07,63.0
2011-05-08,33.0
2011-05-09,42.0
2011-05-10,45.0
2011-05-11,42.0
2011-05-12,28.0
2011-05-13,22.0
2011-05-14,44.0
2011-05-15,27.0
2011-05-16,19.0
2011-05-17,11.0
2011-05-18,10.0
2011-05-19,25.0
2011-05-20,24.0
2011-05-21,17.0
2011-05-22,35.0
2011-05-23,44.0
2011-05-24,54.0
2011-05-25,42.0
2011-05-26,49.0
2011-05-27,70.0
2011-05-28,82.0
2011-05-29,34.0
2011-05-30,20.0
2011-05-31,14.0
2011-06-01,33.0
2011-06-02,26.0
2011-06-03,13.0
2011-06-04,29.0
2011-06-05,40.0
2011-06-06,30.0
2011-06-07,55.0
2011-06-08,58.0
2011-06-09,47.0
2011-06-10,46.0
2011-06-11,48.0
2011-06-12,38.0
2011-06-13,39.0
2011-06-14,33.0
2011-06-15,40.0
2011-06-16,30.0
2011-06-17,40.0
2011-06-18,37.0
2011-06-19,45.0
2011-06-20,34.0
2011-06-21,34.0
2011-06-22,64.0
2011-06-23,36.0
2011-06-24,49.0
2011-06-25,48.0
2011-06-26,35.0
2011-06-27,23.0
2011-06-28,26.0
2011-06-29,34.0
2011-06-30,31.0
2011-07-01,31.0
2011-07-02,46.0
2011-07-03,32.0
2011-07-04,33.0
2011-07-05,35.0
2011-07-06,35.0
2011-07-07,23.0
2011-07-08,35.0
2011-07-09,29.0
2011-07-10,34.0
2011-07-11,52.0
2011-07-12,50.0
2011-07-13,73.0
2011-07-14,62.0
2011-07-15,56.0
2011-07-16,34.0
2011-07-17,35.0
2011-07-18,29.0
2011-07-19,18.0
2011-07-20,29.0
2011-07-21,44.0
2011-07-22,19.0
2011-07-23,41.0
2011-07-24,33.0
2011-07-25,88.0
2011-07-26,45.0
2011-07-27,59.0
2011-07-28,57.0
2011-07-29,47.0
2011-07-30,67.0
2011-07-31,32.0
2011-08-01,39.0
2011-08-02,29.0
2011-08-03,25.0
2011-08-04,17.0
2011-08-05,33.0
2011-08-06,24.0
2011-08-07,30.0
2011-08-08,17.0
2011-08-09,18.0
2011-08-10,9.0
2011-08-11,17.0
2011-08-12,17.0
2011-08-13,15.0
2011-08-14,32.0
2011-08-15,25.0
2011-08-16,52.0
2011-08-17,50.0
2011-08-18,61.0
2011-08-19,43.0
2011-08-20,31.0
2011-08-21,30.0
2011-08-22,17.0
2011-08-23,19.0
2011-08-24,19.0
2011-08-25,26.0
2011-08-26,12.0
2011-08-27,32.0
2011-08-28,34.0
2011-08-29,36.0
2011-08-30,32.0
2011-08-31,20.0
2011-09-01,32.0
2011-09-02,26.0
2011-09-03,33.0
2011-09-04,34.0
2011-09-05,34.0
2011-09-06,37.0
2011-09-07,39.0
2011-09-08,47.0
2011-09-09,33.0
2011-09-10,32.0
2011-09-11,38.0
2011-09-12,38.0
2011-09-13,57.0
2011-09-14,35.0
2011-09-15,36.0
2011-09-16,44.0
2011-09-17,45.0
2011-09-18,42.0
2011-09-19,58.0
2011-09-20,75.0
2011-09-21,80.0
2011-09-22,88.0
2011-09-23,64.0
2011-09-24,79.0
2011-09-25,39.0
2011-09-26,39.0
2011-09-27,32.0
2011-09-28,33.0
2011-09-29,31.0
2011-09-30,32.0
2011-10-01,44.0
2011-10-02,36.0
2011-10-03,43.0
2011-10-04,46.0
2011-10-05,33.0
2011-10-06,37.0
2011-10-07,32.0
2011-10-08,59.0
2011-10-09,36.0
2011-10-10,36.0
2011-10-11,23.0
2011-10-12,27.0
2011-10-13,21.0
2011-10-14,22.0
2011-10-15,25.0
2011-10-16,30.0
2011-10-17,24.0
2011-10-18,26.0
2011-10-19,34.0
2011-10-20,19.0
2011-10-21,31.0
2011-10-22,26.0
2011-10-23,31.0
2011-10-24,16.0
2011-10-25,16.0
2011-10-26,17.0
2011-10-27,26.0
2011-10-28,19.0
2011-10-29,17.0
2011-10-30,32.0
