Date,Volume
2011-01-02,26.0
2011-01-03,8.0
2011-01-04,18.0
2011-01-05,25.0
2011-01-06,20.0
2011-01-07,20.0
2011-01-08,20.0
2011-01-09,25.0
2011-01-10,22.0
2011-01-11,26.0
2011-01-12,37.0
2011-01-13,25.0
2011-01-14,15.0
2011-01-15,20.0
2011-01-16,24.0
2011-01-17,34.0
2011-01-18,24.0
2011-01-19,31.0
2011-01-20,17.0
2011-01-21,23.0
2011-01-22,33.0
2011-01-23,19.0
2011-01-24,24.0
2011-01-25,19.0
2011-01-26,10.0
2011-01-27,9.0
2011-01-28,9.0
2011-01-29,13.0
2011-01-30,28.0
2011-01-31,24.0
2011-02-01,22.0
2011-02-02,16.0
2011-02-03,23.0
2011-02-04,24.0
2011-02-05,18.0
2011-02-06,24.0
2011-02-07,32.0
2011-02-08,40.0
2011-02-09,34.0
2011-02-10,44.0
2011-02-11,36.0
2011-02-12,93.0
2011-02-13,26.0
2011-02-14,14.0
2011-02-15,39.0
2011-02-16,27.0
2011-02-17,28.0
2011-02-18,30.0
2011-02-19,33.0
2011-02-20,31.0
2011-02-21,35.0
2011-02-22,56.0
2011-02-23,53.0
2011-02-24,51.0
2011-02-25,57.0
2011-02-26,47.0
2011-02-27,48.0
2011-02-28,34.0
2011-03-01,47.0
2011-03-02,68.0
2011-03-03,69.0
2011-03-04,42.0
2011-03-05,41.0
2011-03-06,41.0
2011-03-07,45.0
2011-03-08,35.0
2011-03-09,56.0
2011-03-10,44.0
2011-03-11,47.0
2011-03-12,35.0
2011-03-13,41.0
2011-03-14,71.0
2011-03-15,66.0
2011-03-16,70.0
2011-03-17,51.0
2011-03-18,59.0
2011-03-19,85.0
2011-03-20,40.0
2011-03-21,37.0
2011-03-22,40.0
2011-03-23,33.0
2011-03-24,32.0
2011-03-25,29.0
2011-03-26,36.0
2011-03-27,40.0
2011-03-28,33.0
2011-03-29,45.0
2011-03-30,32.0
2011-03-31,19.0
2011-04-01,46.0
2011-04-02,51.0
2011-04-03,36.0
2011-04-04,24.0
2011-04-05,55.0
2011-04-06,37.0
2011-04-07,28.0
2011-04-08,27.0
2011-04-09,24.0
2011-04-10,27.0
2011-04-11,15.0
2011-04-12,18.0
2011-04-13,28.0
2011-04-14,23.0
2011-04-15,20.0
2011-04-16,35.0
2011-04-17,25.0
2011-04-18,35.0
2011-04-19,26.0
2011-04-20,32.0
2011-04-21,17.0
2011-04-22,19.0
2011-04-23,36.0
2011-04-24,29.0
2011-04-25,21.0
2011-04-26,22.0
2011-04-27,27.0
2011-04-28,19.0
2011-04-29,23.0
2011-04-30,27.0
2011-05-01,28.0
2011-05-02,36.0
2011-05-03,36.0
2011-05-04,32.0
2011-05-05,20.0
2011-05-06,36.0
2011-05-07,53.0
2011-05-08,31.0
2011-05-09,31.0
2011-05-10,38.0
2011-05-11,30.0
2011-05-12,24.0
2011-05-13,17.0
2011-05-14,26.0
2011-05-15,22.0
2011-05-16,17.0
2011-05-17,7.0
2011-05-18,22.0
2011-05-19,23.0
2011-05-20,23.0
2011-05-21,31.0
2011-05-22,30.0
2011-05-23,21.0
2011-05-24,44.0
2011-05-25,42.0
2011-05-26,36.0
2011-05-27,45.0
2011-05-28,46.0
2011-05-29,28.0
2011-05-30,6.0
2011-05-31,21.0
2011-06-01,29.0
2011-06-02,38.0
2011-06-03,18.0
2011-06-04,34.0
2011-06-05,35.0
2011-06-06,45.0
2011-06-07,61.0
2011-06-08,62.0
2011-06-09,74.0
2011-06-10,71.0
2011-06-11,69.0
2011-06-12,35.0
2011-06-13,26.0
2011-06-14,29.0
2011-06-15,25.0
2011-06-16,19.0
2011-06-17,20.0
2011-06-18,27.0
2011-06-19,44.0
2011-06-20,50.0
2011-06-21,44.0
2011-06-22,62.0
2011-06-23,65.0
2011-06-24,70.0
2011-06-25,88.0
2011-06-26,31.0
2011-06-27,20.0
2011-06-28,20.0
2011-06-29,22.0
2011-06-30,21.0
2011-07-01,38.0
2011-07-02,31.0
2011-07-03,30.0
2011-07-04,34.0
2011-07-05,27.0
2011-07-06,32.0
2011-07-07,21.0
2011-07-08,25.0
2011-07-09,44.0
2011-07-10,29.0
2011-07-11,25.0
2011-07-12,39.0
2011-07-13,37.0
2011-07-14,21.0
2011-07-15,33.0
2011-07-16,27.0
2011-07-17,30.0
2011-07-18,33.0
2011-07-19,49.0
2011-07-20,29.0
2011-07-21,48.0
2011-07-22,22.0
2011-07-23,39.0
2011-07-24,31.0
2011-07-25,65.0
2011-07-26,32.0
2011-07-27,45.0
2011-07-28,46.0
2011-07-29,29.0
2011-07-30,43.0
2011-07-31,29.0
2011-08-01,35.0
2011-08-02,37.0
2011-08-03,36.0
2011-08-04,27.0
2011-08-05,35.0
2011-08-06,20.0
2011-08-07,29.0
2011-08-08,15.0
2011-08-09,17.0
2011-08-10,9.0
2011-08-11,14.0
2011-08-12,16.0
2011-08-13,14.0
2011-08-14,27.0
2011-08-15,22.0
2011-08-16,40.0
2011-08-17,36.0
2011-08-18,44.0
2011-08-19,33.0
2011-08-20,37.0
2011-08-21,30.0
2011-08-22,24.0
2011-08-23,35.0
2011-08-24,34.0
2011-08-25,36.0
2011-08-26,18.0
2011-08-27,47.0
2011-08-28,33.0
2011-08-29,33.0
2011-08-30,35.0
2011-08-31,26.0
2011-09-01,29.0
2011-09-02,19.0
2011-09-03,34.0
2011-09-04,32.0
2011-09-05,30.0
2011-09-06,31.0
2011-09-07,35.0
2011-09-08,41.0
2011-09-09,29.0
2011-09-10,20.0
2011-09-11,41.0
2011-09-12,35.0
2011-09-13,54.0
2011-09-14,52.0
2011-09-15,47.0
2011-09-16,50.0
2011-09-17,36.0
2011-09-18,39.0
2011-09-19,47.0
2011-09-20,61.0
2011-09-21,66.0
2011-09-22,59.0
2011-09-23,50.0
2011-09-24,80.0
2011-09-25,38.0
2011-09-26,30.0
2011-09-27,38.0
2011-09-28,51.0
2011-09-29,43.0
2011-09-30,43.0
2011-10-01,51.0
2011-10-02,36.0
2011-10-03,42.0
2011-10-04,48.0
2011-10-05,36.0
2011-10-06,32.0
2011-10-07,28.0
2011-10-08,53.0
2011-10-09,35.0
2011-10-10,42.0
2011-10-11,26.0
2011-10-12,35.0
2011-10-13,26.0
2011-10-14,21.0
2011-10-15,21.0
2011-10-16,29.0
2011-10-17,39.0
2011-10-18,39.0
2011-10-19,31.0
2011-10-20,35.0
2011-10-21,24.0
2011-10-22,22.0
2011-10-23,29.0
2011-10-24,18.0
2011-10-25,33.0
2011-10-26,15.0
2011-10-27,33.0
2011-10-28,23.0
2011-10-29,16.0
2011-10-30,26.0
2011-10-31,52.0
2011-11-01,37.0
2011-11-02,38.0
2011-11-03,43.0
2011-11-04,34.0
2011-11-05,27.0
2011-11-06,31.0
2011-11-07,29.0
2011-11-08,57.0
2011-11-09,42.0
2011-11-10,82.0
2011-11-11,41.0
2011-11-12,35.0
2011-11-13,33.0
2011-11-14,19.0
2011-11-15,20.0
2011-11-16,34.0
2011-11-17,39.0
2011-11-18,43.0
2011-11-19,37.0
2011-11-20,29.0
2011-11-21,17.0
2011-11-22,18.0
2011-11-23,18.0
2011-11-24,35.0
2011-11-25,9.0
2011-11-26,31.0
2011-11-27,35.0
2011-11-28,41.0
2011-11-29,22.0
2011-11-30,32.0
2011-12-01,38.0
2011-12-02,38.0
2011-12-03,28.0
2011-12-04,29.0
2011-12-05,28.0
2011-12-06,41.0
2011-12-07,61.0
2011-12-08,49.0
2011-12-09,25.0
2011-12-10,23.0
2011-12-11,30.0
2011-12-12,31.0
2011-12-13,31.0
2011-12-14,34.0
2011-12-15,30.0
2011-12-16,17.0
2011-12-17,37.0
2011-12-18,34.0
2011-12-19,28.0
2011-12-20,26.0
2011-12-21,38.0
2011-12-22,15.0
2011-12-23,46.0
2011-12-24,29.0
2011-12-25,34.0
2011-12-26,31.0
2011-12-27,27.0
2011-12-28,28.0
2011-12-29,32.0
2011-12-30,42.0
2011-12-31,27.0
2012-01-01,23.0
2012-01-02,12.0
2012-01-03,10.0
2012-01-04,16.0
2012-01-05,9.0
2012-01-06,23.0
2012-01-07,15.0
2012-01-08,25.0
2012-01-09,21.0
2012-01-10,16.0
2012-01-11,30.0
2012-01-12,16.0
2012-01-13,26.0
2012-01-14,21.0
