Date,Volume
2011-01-02,15.0
2011-01-03,8.0
2011-01-04,12.0
2011-01-05,10.0
2011-01-06,11.0
2011-01-07,8.0
2011-01-08,15.0
2011-01-09,17.0
2011-01-10,16.0
2011-01-11,14.0
2011-01-12,17.0
2011-01-13,13.0
2011-01-14,14.0
2011-01-15,17.0
2011-01-16,18.0
2011-01-17,13.0
2011-01-18,17.0
2011-01-19,8.0
2011-01-20,13.0
2011-01-21,14.0
2011-01-22,14.0
2011-01-23,16.0
2011-01-24,13.0
2011-01-25,10.0
2011-01-26,17.0
2011-01-27,11.0
2011-01-28,11.0
2011-01-29,10.0
2011-01-30,17.0
2011-01-31,17.0
2011-02-01,13.0
2011-02-02,6.0
2011-02-03,19.0
2011-02-04,18.0
2011-02-05,16.0
2011-02-06,18.0
2011-02-07,14.0
2011-02-08,20.0
2011-02-09,16.0
2011-02-10,30.0
2011-02-11,17.0
2011-02-12,34.0
2011-02-13,21.0
2011-02-14,29.0
2011-02-15,30.0
2011-02-16,40.0
2011-02-17,36.0
2011-02-18,43.0
2011-02-19,41.0
2011-02-20,20.0
2011-02-21,14.0
2011-02-22,24.0
2011-02-23,22.0
2011-02-24,32.0
2011-02-25,24.0
2011-02-26,22.0
2011-02-27,31.0
2011-02-28,21.0
2011-03-01,22.0
2011-03-02,34.0
2011-03-03,31.0
2011-03-04,15.0
2011-03-05,17.0
2011-03-06,30.0
2011-03-07,33.0
2011-03-08,24.0
2011-03-09,36.0
2011-03-10,28.0
2011-03-11,41.0
2011-03-12,30.0
2011-03-13,27.0
2011-03-14,39.0
2011-03-15,29.0
2011-03-16,41.0
2011-03-17,32.0
2011-03-18,39.0
2011-03-19,32.0
2011-03-20,30.0
2011-03-21,27.0
2011-03-22,30.0
2011-03-23,22.0
2011-03-24,22.0
2011-03-25,21.0
2011-03-26,17.0
2011-03-27,27.0
2011-03-28,16.0
2011-03-29,16.0
2011-03-30,21.0
2011-03-31,11.0
2011-04-01,16.0
2011-04-02,21.0
2011-04-03,22.0
2011-04-04,21.0
2011-04-05,32.0
2011-04-06,25.0
2011-04-07,16.0
2011-04-08,15.0
2011-04-09,19.0
2011-04-10,18.0
2011-04-11,17.0
2011-04-12,29.0
2011-04-13,25.0
2011-04-14,11.0
2011-04-15,28.0
2011-04-16,24.0
2011-04-17,20.0
2011-04-18,23.0
2011-04-19,21.0
2011-04-20,14.0
2011-04-21,24.0
2011-04-22,22.0
2011-04-23,27.0
2011-04-24,17.0
2011-04-25,12.0
2011-04-26,14.0
2011-04-27,14.0
2011-04-28,13.0
2011-04-29,16.0
2011-04-30,21.0
2011-05-01,22.0
2011-05-02,33.0
2011-05-03,29.0
2011-05-04,28.0
2011-05-05,25.0
2011-05-06,33.0
2011-05-07,33.0
2011-05-08,23.0
2011-05-09,30.0
2011-05-10,24.0
2011-05-11,40.0
2011-05-12,17.0
2011-05-13,20.0
2011-05-14,31.0
2011-05-15,20.0
2011-05-16,14.0
2011-05-17,6.0
2011-05-18,13.0
2011-05-19,12.0
2011-05-20,19.0
2011-05-21,22.0
2011-05-22,22.0
2011-05-23,16.0
2011-05-24,21.0
2011-05-25,19.0
2011-05-26,17.0
2011-05-27,25.0
2011-05-28,35.0
2011-05-29,20.0
2011-05-30,8.0
2011-05-31,15.0
2011-06-01,24.0
2011-06-02,22.0
2011-06-03,9.0
2011-06-04,19.0
2011-06-05,24.0
2011-06-06,18.0
2011-06-07,24.0
2011-06-08,22.0
2011-06-09,21.0
2011-06-10,27.0
2011-06-11,17.0
2011-06-12,26.0
2011-06-13,30.0
2011-06-14,34.0
2011-06-15,26.0
2011-06-16,22.0
2011-06-17,27.0
2011-06-18,27.0
2011-06-19,28.0
2011-06-20,24.0
2011-06-21,27.0
2011-06-22,37.0
2011-06-23,29.0
2011-06-24,33.0
2011-06-25,43.0
2011-06-26,22.0
2011-06-27,18.0
2011-06-28,24.0
2011-06-29,21.0
2011-06-30,21.0
2011-07-01,25.0
2011-07-02,25.0
2011-07-03,22.0
2011-07-04,18.0
2011-07-05,14.0
2011-07-06,22.0
2011-07-07,8.0
