Date,Volume
2011-01-02,15.0
2011-01-03,9.0
2011-01-04,15.0
2011-01-05,13.0
2011-01-06,23.0
2011-01-07,16.0
2011-01-08,20.0
2011-01-09,14.0
2011-01-10,18.0
2011-01-11,11.0
2011-01-12,19.0
2011-01-13,16.0
2011-01-14,12.0
2011-01-15,12.0
2011-01-16,13.0
2011-01-17,6.0
2011-01-18,8.0
2011-01-19,7.0
2011-01-20,5.0
2011-01-21,8.0
2011-01-22,10.0
2011-01-23,12.0
2011-01-24,9.0
2011-01-25,9.0
2011-01-26,18.0
2011-01-27,6.0
2011-01-28,10.0
2011-01-29,8.0
2011-01-30,14.0
2011-01-31,11.0
2011-02-01,11.0
2011-02-02,13.0
2011-02-03,12.0
2011-02-04,13.0
2011-02-05,10.0
2011-02-06,17.0
2011-02-07,28.0
2011-02-08,32.0
2011-02-09,32.0
2011-02-10,26.0
2011-02-11,36.0
2011-02-12,49.0
2011-02-13,16.0
2011-02-14,12.0
2011-02-15,22.0
2011-02-16,13.0
2011-02-17,26.0
2011-02-18,24.0
2011-02-19,21.0
2011-02-20,16.0
2011-02-21,10.0
2011-02-22,12.0
2011-02-23,12.0
2011-02-24,12.0
2011-02-25,12.0
2011-02-26,7.0
2011-02-27,25.0
2011-02-28,20.0
2011-03-01,23.0
2011-03-02,30.0
2011-03-03,26.0
2011-03-04,21.0
2011-03-05,23.0
2011-03-06,22.0
2011-03-07,24.0
2011-03-08,18.0
2011-03-09,32.0
2011-03-10,21.0
2011-03-11,30.0
2011-03-12,19.0
2011-03-13,22.0
2011-03-14,25.0
2011-03-15,16.0
2011-03-16,25.0
2011-03-17,23.0
2011-03-18,21.0
2011-03-19,26.0
2011-03-20,24.0
2011-03-21,21.0
2011-03-22,23.0
2011-03-23,21.0
2011-03-24,20.0
2011-03-25,16.0
2011-03-26,20.0
2011-03-27,20.0
2011-03-28,12.0
2011-03-29,19.0
2011-03-30,18.0
2011-03-31,11.0
2011-04-01,14.0
2011-04-02,18.0
2011-04-03,20.0
2011-04-04,15.0
2011-04-05,31.0
2011-04-06,21.0
2011-04-07,23.0
2011-04-08,18.0
2011-04-09,13.0
2011-04-10,15.0
2011-04-11,12.0
2011-04-12,17.0
2011-04-13,20.0
2011-04-14,18.0
2011-04-15,22.0
2011-04-16,24.0
2011-04-17,16.0
2011-04-18,17.0
2011-04-19,14.0
2011-04-20,21.0
2011-04-21,5.0
2011-04-22,12.0
2011-04-23,26.0
2011-04-24,15.0
2011-04-25,14.0
2011-04-26,15.0
2011-04-27,18.0
2011-04-28,12.0
2011-04-29,15.0
2011-04-30,15.0
2011-05-01,15.0
2011-05-02,20.0
2011-05-03,17.0
2011-05-04,21.0
2011-05-05,14.0
2011-05-06,20.0
2011-05-07,21.0
2011-05-08,15.0
2011-05-09,10.0
2011-05-10,12.0
2011-05-11,15.0
2011-05-12,11.0
2011-05-13,7.0
2011-05-14,8.0
2011-05-15,13.0
2011-05-16,6.0
2011-05-17,7.0
2011-05-18,10.0
2011-05-19,9.0
2011-05-20,7.0
2011-05-21,10.0
2011-05-22,18.0
2011-05-23,15.0
2011-05-24,18.0
2011-05-25,16.0
2011-05-26,16.0
2011-05-27,15.0
2011-05-28,23.0
2011-05-29,18.0
2011-05-30,12.0
2011-05-31,11.0
2011-06-01,16.0
2011-06-02,13.0
2011-06-03,10.0
2011-06-04,18.0
2011-06-05,20.0
2011-06-06,18.0
2011-06-07,29.0
2011-06-08,24.0
2011-06-09,32.0
2011-06-10,32.0
2011-06-11,29.0
2011-06-12,20.0
2011-06-13,26.0
2011-06-14,17.0
2011-06-15,23.0
2011-06-16,21.0
2011-06-17,21.0
2011-06-18,22.0
2011-06-19,21.0
2011-06-20,22.0
2011-06-21,18.0
2011-06-22,27.0
2011-06-23,17.0
2011-06-24,21.0
2011-06-25,25.0
2011-06-26,16.0
2011-06-27,7.0
2011-06-28,10.0
2011-06-29,8.0
2011-06-30,12.0
2011-07-01,11.0
2011-07-02,15.0
2011-07-03,16.0
2011-07-04,12.0
2011-07-05,18.0
2011-07-06,16.0
2011-07-07,12.0
2011-07-08,11.0
2011-07-09,17.0
2011-07-10,17.0
2011-07-11,17.0
2011-07-12,25.0
2011-07-13,28.0
2011-07-14,22.0
2011-07-15,23.0
2011-07-16,32.0
2011-07-17,16.0
2011-07-18,12.0
2011-07-19,14.0
2011-07-20,17.0
2011-07-21,28.0
2011-07-22,11.0
2011-07-23,18.0
2011-07-24,19.0
2011-07-25,32.0
2011-07-26,20.0
2011-07-27,22.0
2011-07-28,24.0
2011-07-29,24.0
2011-07-30,23.0
2011-07-31,15.0
2011-08-01,13.0
2011-08-02,15.0
2011-08-03,11.0
2011-08-04,10.0
2011-08-05,11.0
2011-08-06,7.0
2011-08-07,16.0
2011-08-08,12.0
2011-08-09,9.0
2011-08-10,5.0
2011-08-11,10.0
2011-08-12,13.0
2011-08-13,12.0
2011-08-14,16.0
2011-08-15,15.0
2011-08-16,26.0
2011-08-17,25.0
2011-08-18,28.0
2011-08-19,19.0
2011-08-20,18.0
2011-08-21,15.0
2011-08-22,13.0
2011-08-23,15.0
2011-08-24,11.0
2011-08-25,12.0
2011-08-26,13.0
2011-08-27,21.0
2011-08-28,17.0
2011-08-29,25.0
2011-08-30,19.0
2011-08-31,14.0
2011-09-01,21.0
2011-09-02,13.0
2011-09-03,19.0
2011-09-04,17.0
2011-09-05,18.0
2011-09-06,24.0
2011-09-07,25.0
2011-09-08,21.0
2011-09-09,19.0
2011-09-10,15.0
2011-09-11,19.0
2011-09-12,13.0
2011-09-13,25.0
2011-09-14,18.0
2011-09-15,20.0
2011-09-16,16.0
2011-09-17,13.0
2011-09-18,20.0
2011-09-19,18.0
2011-09-20,29.0
2011-09-21,23.0
2011-09-22,27.0
2011-09-23,24.0
2011-09-24,26.0
2011-09-25,21.0
2011-09-26,22.0
2011-09-27,33.0
2011-09-28,33.0
2011-09-29,27.0
2011-09-30,32.0
2011-10-01,34.0
2011-10-02,18.0
2011-10-03,27.0
2011-10-04,27.0
2011-10-05,24.0
2011-10-06,18.0
2011-10-07,17.0
