Date,Volume
2011-01-02,16.0
2011-01-03,6.0
2011-01-04,5.0
2011-01-05,8.0
2011-01-06,11.0
2011-01-07,11.0
2011-01-08,11.0
2011-01-09,16.0
2011-01-10,15.0
2011-01-11,11.0
2011-01-12,14.0
2011-01-13,6.0
2011-01-14,12.0
2011-01-15,9.0
2011-01-16,17.0
2011-01-17,14.0
2011-01-18,12.0
2011-01-19,15.0
2011-01-20,12.0
2011-01-21,6.0
2011-01-22,14.0
2011-01-23,14.0
2011-01-24,13.0
2011-01-25,12.0
2011-01-26,15.0
2011-01-27,13.0
2011-01-28,17.0
2011-01-29,12.0
2011-01-30,19.0
2011-01-31,19.0
2011-02-01,14.0
2011-02-02,19.0
2011-02-03,21.0
2011-02-04,23.0
2011-02-05,21.0
2011-02-06,19.0
2011-02-07,11.0
2011-02-08,22.0
2011-02-09,20.0
2011-02-10,24.0
2011-02-11,25.0
2011-02-12,42.0
2011-02-13,20.0
2011-02-14,27.0
2011-02-15,28.0
2011-02-16,28.0
2011-02-17,31.0
2011-02-18,28.0
2011-02-19,44.0
2011-02-20,20.0
2011-02-21,14.0
2011-02-22,17.0
2011-02-23,14.0
2011-02-24,24.0
2011-02-25,16.0
2011-02-26,13.0
2011-02-27,34.0
2011-02-28,26.0
2011-03-01,36.0
2011-03-02,47.0
2011-03-03,46.0
2011-03-04,31.0
2011-03-05,31.0
2011-03-06,28.0
2011-03-07,34.0
2011-03-08,32.0
2011-03-09,28.0
2011-03-10,21.0
2011-03-11,36.0
2011-03-12,22.0
2011-03-13,25.0
2011-03-14,38.0
2011-03-15,36.0
2011-03-16,26.0
2011-03-17,38.0
2011-03-18,38.0
2011-03-19,48.0
2011-03-20,25.0
2011-03-21,33.0
2011-03-22,35.0
2011-03-23,25.0
2011-03-24,27.0
2011-03-25,19.0
2011-03-26,12.0
2011-03-27,29.0
2011-03-28,25.0
2011-03-29,28.0
2011-03-30,28.0
2011-03-31,17.0
2011-04-01,27.0
2011-04-02,29.0
2011-04-03,22.0
2011-04-04,35.0
2011-04-05,57.0
2011-04-06,36.0
2011-04-07,31.0
2011-04-08,32.0
2011-04-09,15.0
2011-04-10,19.0
2011-04-11,72.0
2011-04-12,72.0
2011-04-13,79.0
2011-04-14,45.0
2011-04-15,100.0
2011-04-16,74.0
2011-04-17,19.0
2011-04-18,29.0
2011-04-19,26.0
2011-04-20,29.0
2011-04-21,13.0
2011-04-22,25.0
2011-04-23,43.0
2011-04-24,23.0
2011-04-25,17.0
2011-04-26,23.0
2011-04-27,17.0
2011-04-28,11.0
2011-04-29,13.0
2011-04-30,14.0
2011-05-01,19.0
2011-05-02,28.0
2011-05-03,22.0
2011-05-04,19.0
2011-05-05,21.0
2011-05-06,23.0
2011-05-07,34.0
2011-05-08,18.0
2011-05-09,14.0
2011-05-10,14.0
2011-05-11,20.0
2011-05-12,13.0
2011-05-13,10.0
2011-05-14,16.0
2011-05-15,16.0
2011-05-16,10.0
2011-05-17,8.0
2011-05-18,11.0
2011-05-19,16.0
2011-05-20,18.0
2011-05-21,19.0
2011-05-22,24.0
2011-05-23,27.0
2011-05-24,21.0
2011-05-25,24.0
2011-05-26,26.0
2011-05-27,27.0
2011-05-28,35.0
2011-05-29,21.0
2011-05-30,14.0
2011-05-31,22.0
2011-06-01,22.0
2011-06-02,27.0
2011-06-03,18.0
2011-06-04,19.0
2011-06-05,24.0
2011-06-06,15.0
2011-06-07,26.0
2011-06-08,26.0
2011-06-09,30.0
2011-06-10,30.0
2011-06-11,32.0
2011-06-12,27.0
2011-06-13,18.0
2011-06-14,31.0
2011-06-15,29.0
2011-06-16,31.0
2011-06-17,26.0
2011-06-18,32.0
2011-06-19,27.0
2011-06-20,32.0
2011-06-21,61.0
2011-06-22,73.0
2011-06-23,49.0
2011-06-24,53.0
2011-06-25,66.0
2011-06-26,20.0
2011-06-27,12.0
2011-06-28,17.0
2011-06-29,12.0
2011-06-30,18.0
2011-07-01,24.0
2011-07-02,17.0
2011-07-03,24.0
2011-07-04,16.0
2011-07-05,23.0
2011-07-06,30.0
2011-07-07,26.0
2011-07-08,21.0
2011-07-09,29.0
2011-07-10,21.0
2011-07-11,23.0
2011-07-12,23.0
2011-07-13,28.0
2011-07-14,19.0
2011-07-15,22.0
2011-07-16,13.0
2011-07-17,20.0
2011-07-18,12.0
2011-07-19,33.0
2011-07-20,22.0
2011-07-21,25.0
2011-07-22,14.0
2011-07-23,26.0
2011-07-24,18.0
2011-07-25,17.0
2011-07-26,9.0
2011-07-27,14.0
2011-07-28,16.0
2011-07-29,12.0
2011-07-30,14.0
2011-07-31,20.0
2011-08-01,21.0
2011-08-02,21.0
2011-08-03,17.0
2011-08-04,23.0
2011-08-05,21.0
2011-08-06,7.0
2011-08-07,21.0
2011-08-08,17.0
2011-08-09,16.0
2011-08-10,7.0
2011-08-11,17.0
2011-08-12,10.0
2011-08-13,9.0
2011-08-14,18.0
2011-08-15,11.0
2011-08-16,23.0
2011-08-17,25.0
2011-08-18,24.0
2011-08-19,16.0
2011-08-20,16.0
2011-08-21,18.0
2011-08-22,12.0
2011-08-23,19.0
2011-08-24,16.0
2011-08-25,17.0
2011-08-26,9.0
2011-08-27,21.0
2011-08-28,23.0
2011-08-29,28.0
2011-08-30,19.0
2011-08-31,18.0
2011-09-01,17.0
2011-09-02,16.0
2011-09-03,16.0
2011-09-04,23.0
2011-09-05,16.0
2011-09-06,19.0
2011-09-07,16.0
2011-09-08,27.0
2011-09-09,21.0
2011-09-10,27.0
2011-09-11,20.0
2011-09-12,19.0
2011-09-13,27.0
2011-09-14,27.0
2011-09-15,15.0
2011-09-16,13.0
2011-09-17,27.0
2011-09-18,24.0
2011-09-19,22.0
2011-09-20,52.0
2011-09-21,28.0
2011-09-22,42.0
2011-09-23,23.0
2011-09-24,50.0
2011-09-25,22.0
2011-09-26,19.0
2011-09-27,26.0
2011-09-28,29.0
2011-09-29,24.0
2011-09-30,25.0
2011-10-01,20.0
2011-10-02,21.0
2011-10-03,32.0
2011-10-04,41.0
2011-10-05,23.0
2011-10-06,26.0
2011-10-07,24.0
2011-10-08,36.0
2011-10-09,20.0
2011-10-10,30.0
2011-10-11,21.0
2011-10-12,29.0
2011-10-13,11.0
2011-10-14,14.0
2011-10-15,18.0
2011-10-16,18.0
2011-10-17,14.0
2011-10-18,11.0
2011-10-19,11.0
2011-10-20,13.0
2011-10-21,13.0
2011-10-22,14.0
2011-10-23,20.0
2011-10-24,15.0
2011-10-25,23.0
2011-10-26,19.0
2011-10-27,24.0
2011-10-28,19.0
2011-10-29,19.0
2011-10-30,21.0
2011-10-31,32.0
2011-11-01,18.0
2011-11-02,28.0
2011-11-03,22.0
2011-11-04,24.0
2011-11-05,21.0
2011-11-06,22.0
2011-11-07,21.0
2011-11-08,31.0
2011-11-09,28.0
2011-11-10,46.0
2011-11-11,28.0
2011-11-12,20.0
2011-11-13,22.0
2011-11-14,16.0
2011-11-15,14.0
2011-11-16,15.0
2011-11-17,18.0
2011-11-18,20.0
2011-11-19,17.0
2011-11-20,23.0
2011-11-21,27.0
2011-11-22,21.0
2011-11-23,13.0
2011-11-24,30.0
2011-11-25,19.0
2011-11-26,25.0
2011-11-27,20.0
2011-11-28,18.0
2011-11-29,11.0
2011-11-30,15.0
2011-12-01,19.0
2011-12-02,15.0
2011-12-03,11.0
2011-12-04,20.0
2011-12-05,21.0
2011-12-06,22.0
2011-12-07,27.0
2011-12-08,21.0
2011-12-09,15.0
2011-12-10,18.0
2011-12-11,22.0
