Date,Volume
2015-03-01,17.0
2015-03-02,20.0
2015-03-03,26.0
2015-03-04,19.0
2015-03-05,29.0
2015-03-06,18.0
2015-03-07,15.0
2015-03-08,13.0
2015-03-09,9.0
2015-03-10,10.0
2015-03-11,15.0
2015-03-12,11.0
2015-03-13,10.0
2015-03-14,10.0
2015-03-15,13.0
2015-03-16,11.0
2015-03-17,15.0
2015-03-18,10.0
2015-03-19,15.0
2015-03-20,10.0
2015-03-21,13.0
2015-03-22,13.0
2015-03-23,26.0
2015-03-24,24.0
2015-03-25,38.0
2015-03-26,35.0
2015-03-27,22.0
2015-03-28,18.0
2015-03-29,14.0
2015-03-30,15.0
2015-03-31,20.0
2015-04-01,22.0
2015-04-02,16.0
2015-04-03,22.0
2015-04-04,24.0
2015-04-05,13.0
2015-04-06,9.0
2015-04-07,9.0
2015-04-08,8.0
2015-04-09,6.0
2015-04-10,8.0
2015-04-11,12.0
2015-04-12,16.0
2015-04-13,19.0
2015-04-14,16.0
2015-04-15,9.0
2015-04-16,13.0
2015-04-17,8.0
2015-04-18,17.0
2015-04-19,15.0
2015-04-20,18.0
2015-04-21,19.0
2015-04-22,23.0
2015-04-23,18.0
2015-04-24,18.0
2015-04-25,21.0
2015-04-26,15.0
2015-04-27,12.0
2015-04-28,13.0
2015-04-29,16.0
2015-04-30,19.0
2015-05-01,12.0
2015-05-02,10.0
2015-05-03,15.0
2015-05-04,17.0
2015-05-05,17.0
2015-05-06,15.0
2015-05-07,15.0
2015-05-08,14.0
2015-05-09,16.0
2015-05-10,15.0
2015-05-11,11.0
2015-05-12,9.0
2015-05-13,10.0
2015-05-14,11.0
2015-05-15,9.0
2015-05-16,9.0
2015-05-17,14.0
2015-05-18,21.0
2015-05-19,16.0
2015-05-20,24.0
2015-05-21,18.0
2015-05-22,20.0
2015-05-23,16.0
2015-05-24,13.0
2015-05-25,12.0
2015-05-26,13.0
2015-05-27,12.0
2015-05-28,12.0
2015-05-29,13.0
2015-05-30,10.0
2015-05-31,13.0
2015-06-01,12.0
2015-06-02,9.0
2015-06-03,12.0
2015-06-04,13.0
2015-06-05,10.0
2015-06-06,11.0
2015-06-07,14.0
2015-06-08,20.0
2015-06-09,21.0
2015-06-10,18.0
2015-06-11,15.0
2015-06-12,16.0
2015-06-13,14.0
2015-06-14,14.0
2015-06-15,14.0
2015-06-16,14.0
2015-06-17,12.0
2015-06-18,7.0
2015-06-19,16.0
2015-06-20,14.0
2015-06-21,15.0
2015-06-22,12.0
2015-06-23,16.0
2015-06-24,15.0
2015-06-25,13.0
2015-06-26,9.0
2015-06-27,12.0
2015-06-28,15.0
2015-06-29,16.0
2015-06-30,18.0
2015-07-01,9.0
2015-07-02,12.0
2015-07-03,12.0
2015-07-04,15.0
2015-07-05,13.0
2015-07-06,9.0
2015-07-07,11.0
2015-07-08,10.0
2015-07-09,10.0
2015-07-10,9.0
2015-07-11,6.0
2015-07-12,15.0
2015-07-13,16.0
2015-07-14,14.0
2015-07-15,12.0
2015-07-16,10.0
2015-07-17,13.0
2015-07-18,16.0
2015-07-19,14.0
2015-07-20,18.0
2015-07-21,24.0
2015-07-22,24.0
2015-07-23,24.0
2015-07-24,29.0
2015-07-25,17.0
2015-07-26,15.0
2015-07-27,15.0
2015-07-28,17.0
2015-07-29,12.0
2015-07-30,11.0
2015-07-31,8.0
2015-08-01,13.0
2015-08-02,14.0
2015-08-03,14.0
2015-08-04,16.0
2015-08-05,9.0
2015-08-06,11.0
2015-08-07,8.0
2015-08-08,13.0
2015-08-09,13.0
2015-08-10,16.0
2015-08-11,19.0
2015-08-12,18.0
2015-08-13,12.0
2015-08-14,14.0
2015-08-15,15.0
2015-08-16,16.0
2015-08-17,17.0
2015-08-18,18.0
2015-08-19,19.0
2015-08-20,14.0
2015-08-21,20.0
2015-08-22,14.0
2015-08-23,12.0
2015-08-24,11.0
2015-08-25,14.0
2015-08-26,14.0
2015-08-27,15.0
2015-08-28,14.0
2015-08-29,10.0
2015-08-30,17.0
2015-08-31,27.0
2015-09-01,23.0
2015-09-02,21.0
2015-09-03,24.0
2015-09-04,18.0
2015-09-05,22.0
2015-09-06,15.0
2015-09-07,15.0
2015-09-08,12.0
2015-09-09,20.0
2015-09-10,16.0
2015-09-11,10.0
2015-09-12,12.0
2015-09-13,15.0
2015-09-14,12.0
2015-09-15,16.0
2015-09-16,21.0
2015-09-17,20.0
