Date,Volume
2015-03-01,22.0
2015-03-02,28.0
2015-03-03,33.0
2015-03-04,23.0
2015-03-05,27.0
2015-03-06,17.0
2015-03-07,22.0
2015-03-08,20.0
2015-03-09,12.0
2015-03-10,13.0
2015-03-11,15.0
2015-03-12,17.0
2015-03-13,18.0
2015-03-14,19.0
2015-03-15,20.0
2015-03-16,13.0
2015-03-17,18.0
2015-03-18,22.0
2015-03-19,20.0
2015-03-20,17.0
2015-03-21,23.0
2015-03-22,19.0
2015-03-23,30.0
2015-03-24,41.0
2015-03-25,63.0
2015-03-26,37.0
2015-03-27,27.0
2015-03-28,25.0
2015-03-29,19.0
2015-03-30,30.0
2015-03-31,38.0
2015-04-01,24.0
2015-04-02,19.0
2015-04-03,25.0
2015-04-04,42.0
2015-04-05,19.0
2015-04-06,16.0
2015-04-07,15.0
2015-04-08,15.0
2015-04-09,10.0
2015-04-10,16.0
2015-04-11,14.0
2015-04-12,23.0
2015-04-13,22.0
2015-04-14,19.0
2015-04-15,14.0
2015-04-16,26.0
2015-04-17,18.0
2015-04-18,19.0
2015-04-19,23.0
2015-04-20,17.0
2015-04-21,23.0
2015-04-22,19.0
2015-04-23,20.0
2015-04-24,16.0
2015-04-25,18.0
2015-04-26,23.0
2015-04-27,23.0
2015-04-28,26.0
2015-04-29,26.0
2015-04-30,33.0
2015-05-01,26.0
2015-05-02,18.0
2015-05-03,22.0
2015-05-04,31.0
2015-05-05,26.0
2015-05-06,25.0
2015-05-07,16.0
2015-05-08,23.0
2015-05-09,26.0
2015-05-10,21.0
2015-05-11,19.0
2015-05-12,12.0
2015-05-13,20.0
2015-05-14,17.0
2015-05-15,18.0
2015-05-16,10.0
2015-05-17,23.0
2015-05-18,25.0
2015-05-19,13.0
2015-05-20,33.0
2015-05-21,24.0
2015-05-22,20.0
2015-05-23,14.0
2015-05-24,18.0
2015-05-25,22.0
2015-05-26,17.0
2015-05-27,21.0
2015-05-28,15.0
2015-05-29,19.0
2015-05-30,15.0
2015-05-31,20.0
2015-06-01,17.0
2015-06-02,13.0
2015-06-03,16.0
2015-06-04,18.0
2015-06-05,12.0
2015-06-06,15.0
2015-06-07,18.0
2015-06-08,21.0
