Date,Volume
2015-03-01,23.0
2015-03-02,32.0
2015-03-03,27.0
2015-03-04,23.0
2015-03-05,31.0
2015-03-06,21.0
2015-03-07,17.0
2015-03-08,18.0
2015-03-09,9.0
2015-03-10,11.0
2015-03-11,21.0
2015-03-12,10.0
2015-03-13,6.0
2015-03-14,20.0
2015-03-15,18.0
2015-03-16,17.0
2015-03-17,15.0
2015-03-18,19.0
2015-03-19,26.0
2015-03-20,13.0
2015-03-21,14.0
2015-03-22,20.0
2015-03-23,18.0
2015-03-24,15.0
2015-03-25,33.0
2015-03-26,21.0
2015-03-27,23.0
2015-03-28,26.0
2015-03-29,19.0
2015-03-30,24.0
2015-03-31,20.0
2015-04-01,25.0
2015-04-02,12.0
2015-04-03,29.0
2015-04-04,27.0
2015-04-05,17.0
2015-04-06,11.0
2015-04-07,13.0
2015-04-08,12.0
2015-04-09,12.0
2015-04-10,11.0
2015-04-11,9.0
2015-04-12,21.0
2015-04-13,19.0
2015-04-14,14.0
2015-04-15,8.0
2015-04-16,15.0
2015-04-17,10.0
2015-04-18,8.0
2015-04-19,21.0
2015-04-20,18.0
2015-04-21,22.0
2015-04-22,23.0
2015-04-23,25.0
2015-04-24,22.0
2015-04-25,19.0
2015-04-26,19.0
2015-04-27,13.0
2015-04-28,18.0
2015-04-29,15.0
2015-04-30,23.0
2015-05-01,23.0
2015-05-02,12.0
2015-05-03,19.0
2015-05-04,17.0
2015-05-05,21.0
2015-05-06,17.0
2015-05-07,15.0
2015-05-08,21.0
2015-05-09,26.0
2015-05-10,19.0
2015-05-11,16.0
2015-05-12,13.0
2015-05-13,16.0
2015-05-14,13.0
2015-05-15,12.0
2015-05-16,9.0
2015-05-17,20.0
2015-05-18,31.0
2015-05-19,23.0
2015-05-20,26.0
2015-05-21,15.0
2015-05-22,31.0
2015-05-23,16.0
2015-05-24,16.0
2015-05-25,15.0
2015-05-26,10.0
2015-05-27,19.0
2015-05-28,19.0
2015-05-29,15.0
2015-05-30,12.0
2015-05-31,17.0
2015-06-01,12.0
2015-06-02,12.0
2015-06-03,14.0
2015-06-04,11.0
2015-06-05,11.0
2015-06-06,13.0
2015-06-07,18.0
2015-06-08,13.0
2015-06-09,24.0
2015-06-10,17.0
2015-06-11,15.0
2015-06-12,15.0
2015-06-13,12.0
2015-06-14,17.0
2015-06-15,18.0
2015-06-16,19.0
2015-06-17,20.0
2015-06-18,15.0
2015-06-19,14.0
2015-06-20,19.0
2015-06-21,19.0
2015-06-22,19.0
2015-06-23,18.0
2015-06-24,17.0
2015-06-25,18.0
2015-06-26,12.0
2015-06-27,15.0
2015-06-28,20.0
2015-06-29,23.0
2015-06-30,29.0
2015-07-01,26.0
2015-07-02,21.0
2015-07-03,13.0
2015-07-04,19.0
2015-07-05,17.0
2015-07-06,9.0
2015-07-07,10.0
2015-07-08,12.0
2015-07-09,9.0
2015-07-10,11.0
2015-07-11,7.0
2015-07-12,20.0
2015-07-13,16.0
2015-07-14,15.0
2015-07-15,13.0
2015-07-16,14.0
2015-07-17,14.0
2015-07-18,18.0
2015-07-19,19.0
2015-07-20,13.0
2015-07-21,31.0
2015-07-22,33.0
2015-07-23,23.0
2015-07-24,29.0
2015-07-25,31.0
2015-07-26,17.0
2015-07-27,28.0
2015-07-28,28.0
2015-07-29,17.0
2015-07-30,18.0
2015-07-31,10.0
2015-08-01,15.0
2015-08-02,18.0
2015-08-03,23.0
2015-08-04,12.0
2015-08-05,26.0
2015-08-06,24.0
2015-08-07,23.0
2015-08-08,15.0
2015-08-09,20.0
2015-08-10,17.0
2015-08-11,19.0
2015-08-12,17.0
2015-08-13,14.0
2015-08-14,15.0
2015-08-15,12.0
2015-08-16,19.0
2015-08-17,17.0
2015-08-18,16.0
2015-08-19,10.0
2015-08-20,14.0
2015-08-21,19.0
2015-08-22,14.0
2015-08-23,16.0
2015-08-24,17.0
2015-08-25,24.0
2015-08-26,31.0
2015-08-27,31.0
2015-08-28,24.0
2015-08-29,18.0
2015-08-30,22.0
2015-08-31,23.0
2015-09-01,15.0
2015-09-02,26.0
2015-09-03,31.0
2015-09-04,16.0
2015-09-05,28.0
2015-09-06,22.0
2015-09-07,37.0
2015-09-08,35.0
2015-09-09,40.0
2015-09-10,29.0
2015-09-11,41.0
2015-09-12,28.0
2015-09-13,18.0
2015-09-14,14.0
2015-09-15,23.0
2015-09-16,21.0
2015-09-17,27.0
2015-09-18,20.0
2015-09-19,24.0
2015-09-20,20.0
2015-09-21,19.0
2015-09-22,18.0
2015-09-23,18.0
2015-09-24,20.0
2015-09-25,15.0
2015-09-26,10.0
2015-09-27,19.0
2015-09-28,13.0
2015-09-29,30.0
2015-09-30,23.0
2015-10-01,31.0
2015-10-02,14.0
2015-10-03,25.0
2015-10-04,21.0
2015-10-05,12.0
2015-10-06,14.0
2015-10-07,21.0
2015-10-08,19.0
2015-10-09,18.0
2015-10-10,28.0
2015-10-11,19.0
2015-10-12,19.0
2015-10-13,31.0
2015-10-14,27.0
2015-10-15,22.0
2015-10-16,23.0
2015-10-17,24.0
2015-10-18,20.0
2015-10-19,19.0
2015-10-20,14.0
2015-10-21,26.0
2015-10-22,19.0
2015-10-23,21.0
2015-10-24,16.0
2015-10-25,22.0
2015-10-26,29.0
2015-10-27,34.0
2015-10-28,25.0
2015-10-29,29.0
2015-10-30,25.0
2015-10-31,31.0
2015-11-01,22.0
2015-11-02,34.0
2015-11-03,21.0
2015-11-04,20.0
2015-11-05,22.0
2015-11-06,21.0
2015-11-07,16.0
2015-11-08,26.0
2015-11-09,26.0
2015-11-10,25.0
2015-11-11,24.0
2015-11-12,24.0
2015-11-13,22.0
2015-11-14,20.0
2015-11-15,24.0
2015-11-16,18.0
2015-11-17,21.0
2015-11-18,16.0
2015-11-19,19.0
2015-11-20,18.0
2015-11-21,17.0
2015-11-22,21.0
2015-11-23,30.0
2015-11-24,23.0
2015-11-25,20.0
2015-11-26,20.0
2015-11-27,21.0
2015-11-28,29.0
2015-11-29,22.0
2015-11-30,26.0
2015-12-01,28.0
2015-12-02,23.0
2015-12-03,33.0
2015-12-04,25.0
2015-12-05,18.0
2015-12-06,24.0
2015-12-07,20.0
2015-12-08,24.0
2015-12-09,37.0
2015-12-10,30.0
2015-12-11,24.0
2015-12-12,18.0
2015-12-13,21.0
2015-12-14,31.0
2015-12-15,26.0
2015-12-16,35.0
2015-12-17,23.0
2015-12-18,33.0
2015-12-19,24.0
2015-12-20,18.0
2015-12-21,9.0
2015-12-22,9.0
2015-12-23,12.0
2015-12-24,9.0
2015-12-25,13.0
2015-12-26,11.0
2015-12-27,17.0
2015-12-28,20.0
2015-12-29,17.0
2015-12-30,15.0
2015-12-31,22.0
2016-01-01,11.0
2016-01-02,10.0
2016-01-03,21.0
2016-01-04,16.0
2016-01-05,18.0
2016-01-06,13.0
2016-01-07,14.0
2016-01-08,18.0
2016-01-09,17.0
2016-01-10,21.0
2016-01-11,15.0
2016-01-12,25.0
2016-01-13,28.0
2016-01-14,24.0
2016-01-15,27.0
2016-01-16,14.0
2016-01-17,17.0
2016-01-18,19.0
2016-01-19,21.0
2016-01-20,24.0
2016-01-21,22.0
2016-01-22,21.0
2016-01-23,18.0
2016-01-24,21.0
2016-01-25,18.0
2016-01-26,15.0
2016-01-27,18.0
2016-01-28,22.0
2016-01-29,24.0
2016-01-30,17.0
2016-01-31,20.0
2016-02-01,23.0
2016-02-02,23.0
2016-02-03,26.0
2016-02-04,19.0
2016-02-05,24.0
2016-02-06,16.0
2016-02-07,22.0
2016-02-08,37.0
2016-02-09,26.0
2016-02-10,34.0
2016-02-11,34.0
2016-02-12,31.0
2016-02-13,31.0
2016-02-14,26.0
2016-02-15,66.0
2016-02-16,15.0
2016-02-17,24.0
2016-02-18,14.0
2016-02-19,18.0
2016-02-20,15.0
2016-02-21,19.0
2016-02-22,21.0
2016-02-23,20.0
2016-02-24,20.0
2016-02-25,28.0
2016-02-26,13.0
2016-02-27,20.0
2016-02-28,21.0
2016-02-29,28.0
2016-03-01,93.0
2016-03-02,97.0
2016-03-03,70.0
2016-03-04,100.0
2016-03-05,62.0
