Date,Volume
2015-03-01,34.0
2015-03-02,68.0
2015-03-03,78.0
2015-03-04,76.0
2015-03-05,86.0
2015-03-06,64.0
2015-03-07,58.0
2015-03-08,28.0
2015-03-09,21.0
2015-03-10,18.0
2015-03-11,35.0
2015-03-12,31.0
2015-03-13,18.0
2015-03-14,28.0
2015-03-15,27.0
2015-03-16,21.0
2015-03-17,23.0
2015-03-18,37.0
2015-03-19,30.0
2015-03-20,27.0
2015-03-21,22.0
2015-03-22,27.0
2015-03-23,24.0
2015-03-24,31.0
2015-03-25,41.0
2015-03-26,32.0
2015-03-27,24.0
2015-03-28,24.0
2015-03-29,27.0
2015-03-30,28.0
2015-03-31,43.0
2015-04-01,30.0
2015-04-02,18.0
2015-04-03,31.0
2015-04-04,34.0
2015-04-05,24.0
2015-04-06,17.0
2015-04-07,19.0
2015-04-08,21.0
2015-04-09,13.0
2015-04-10,10.0
2015-04-11,11.0
2015-04-12,29.0
2015-04-13,28.0
2015-04-14,16.0
2015-04-15,14.0
2015-04-16,25.0
2015-04-17,16.0
2015-04-18,27.0
2015-04-19,31.0
2015-04-20,24.0
2015-04-21,36.0
2015-04-22,23.0
2015-04-23,27.0
2015-04-24,23.0
2015-04-25,24.0
2015-04-26,33.0
2015-04-27,23.0
2015-04-28,28.0
2015-04-29,38.0
2015-04-30,57.0
2015-05-01,43.0
2015-05-02,38.0
2015-05-03,27.0
2015-05-04,27.0
2015-05-05,35.0
2015-05-06,36.0
2015-05-07,37.0
2015-05-08,19.0
2015-05-09,40.0
2015-05-10,29.0
2015-05-11,20.0
2015-05-12,18.0
2015-05-13,19.0
2015-05-14,26.0
2015-05-15,21.0
2015-05-16,15.0
2015-05-17,29.0
2015-05-18,42.0
2015-05-19,38.0
2015-05-20,40.0
2015-05-21,30.0
2015-05-22,32.0
2015-05-23,15.0
2015-05-24,27.0
2015-05-25,23.0
2015-05-26,22.0
2015-05-27,25.0
2015-05-28,30.0
2015-05-29,37.0
2015-05-30,19.0
2015-05-31,30.0
2015-06-01,35.0
2015-06-02,20.0
2015-06-03,21.0
2015-06-04,25.0
2015-06-05,21.0
2015-06-06,32.0
2015-06-07,29.0
2015-06-08,42.0
2015-06-09,55.0
2015-06-10,37.0
2015-06-11,33.0
2015-06-12,30.0
2015-06-13,36.0
2015-06-14,29.0
2015-06-15,27.0
2015-06-16,24.0
2015-06-17,20.0
2015-06-18,19.0
2015-06-19,16.0
2015-06-20,32.0
2015-06-21,31.0
2015-06-22,29.0
2015-06-23,37.0
2015-06-24,38.0
2015-06-25,31.0
2015-06-26,30.0
2015-06-27,39.0
2015-06-28,27.0
2015-06-29,27.0
2015-06-30,29.0
2015-07-01,32.0
2015-07-02,33.0
2015-07-03,20.0
2015-07-04,21.0
2015-07-05,26.0
2015-07-06,15.0
2015-07-07,21.0
2015-07-08,20.0
2015-07-09,22.0
2015-07-10,16.0
2015-07-11,17.0
2015-07-12,31.0
2015-07-13,32.0
2015-07-14,29.0
2015-07-15,29.0
2015-07-16,24.0
2015-07-17,20.0
2015-07-18,33.0
2015-07-19,29.0
2015-07-20,28.0
2015-07-21,39.0
2015-07-22,45.0
