Date,Volume
2015-03-01,36.0
2015-03-02,48.0
2015-03-03,34.0
2015-03-04,28.0
2015-03-05,46.0
2015-03-06,33.0
2015-03-07,22.0
2015-03-08,33.0
2015-03-09,16.0
2015-03-10,19.0
2015-03-11,31.0
2015-03-12,26.0
2015-03-13,22.0
2015-03-14,20.0
2015-03-15,36.0
2015-03-16,35.0
2015-03-17,35.0
2015-03-18,36.0
2015-03-19,40.0
2015-03-20,39.0
2015-03-21,47.0
2015-03-22,40.0
2015-03-23,43.0
2015-03-24,43.0
2015-03-25,76.0
2015-03-26,84.0
2015-03-27,48.0
2015-03-28,55.0
2015-03-29,38.0
2015-03-30,36.0
2015-03-31,51.0
2015-04-01,71.0
2015-04-02,43.0
2015-04-03,58.0
2015-04-04,100.0
2015-04-05,35.0
2015-04-06,27.0
2015-04-07,30.0
2015-04-08,22.0
2015-04-09,18.0
2015-04-10,22.0
2015-04-11,16.0
2015-04-12,35.0
2015-04-13,54.0
2015-04-14,46.0
2015-04-15,34.0
2015-04-16,60.0
2015-04-17,42.0
2015-04-18,48.0
2015-04-19,31.0
2015-04-20,26.0
2015-04-21,21.0
2015-04-22,23.0
2015-04-23,21.0
2015-04-24,30.0
2015-04-25,27.0
2015-04-26,37.0
2015-04-27,25.0
2015-04-28,27.0
2015-04-29,29.0
2015-04-30,32.0
2015-05-01,31.0
2015-05-02,21.0
2015-05-03,34.0
2015-05-04,25.0
2015-05-05,43.0
2015-05-06,34.0
2015-05-07,42.0
2015-05-08,30.0
2015-05-09,39.0
2015-05-10,39.0
2015-05-11,44.0
2015-05-12,27.0
2015-05-13,27.0
2015-05-14,28.0
2015-05-15,39.0
2015-05-16,25.0
2015-05-17,38.0
2015-05-18,49.0
2015-05-19,30.0
2015-05-20,48.0
2015-05-21,34.0
2015-05-22,42.0
2015-05-23,23.0
2015-05-24,32.0
2015-05-25,24.0
2015-05-26,33.0
2015-05-27,25.0
2015-05-28,35.0
2015-05-29,31.0
2015-05-30,28.0
2015-05-31,33.0
2015-06-01,25.0
2015-06-02,24.0
2015-06-03,30.0
2015-06-04,26.0
2015-06-05,23.0
2015-06-06,23.0
