Date,Volume
2015-03-01,41.0
2015-03-02,68.0
2015-03-03,42.0
2015-03-04,31.0
2015-03-05,39.0
2015-03-06,40.0
2015-03-07,46.0
2015-03-08,36.0
2015-03-09,16.0
2015-03-10,19.0
2015-03-11,29.0
2015-03-12,21.0
2015-03-13,28.0
2015-03-14,24.0
2015-03-15,39.0
2015-03-16,47.0
2015-03-17,57.0
2015-03-18,60.0
2015-03-19,61.0
2015-03-20,56.0
2015-03-21,60.0
2015-03-22,42.0
2015-03-23,49.0
2015-03-24,53.0
2015-03-25,78.0
2015-03-26,88.0
2015-03-27,45.0
2015-03-28,57.0
2015-03-29,38.0
2015-03-30,42.0
2015-03-31,48.0
2015-04-01,68.0
2015-04-02,29.0
2015-04-03,45.0
2015-04-04,72.0
2015-04-05,34.0
2015-04-06,17.0
2015-04-07,24.0
2015-04-08,16.0
2015-04-09,17.0
2015-04-10,16.0
2015-04-11,9.0
2015-04-12,37.0
2015-04-13,44.0
2015-04-14,39.0
2015-04-15,14.0
2015-04-16,29.0
2015-04-17,26.0
2015-04-18,38.0
2015-04-19,35.0
2015-04-20,44.0
2015-04-21,38.0
2015-04-22,32.0
2015-04-23,41.0
2015-04-24,21.0
2015-04-25,38.0
2015-04-26,38.0
2015-04-27,19.0
2015-04-28,42.0
2015-04-29,26.0
2015-04-30,38.0
2015-05-01,22.0
2015-05-02,23.0
2015-05-03,36.0
2015-05-04,33.0
2015-05-05,44.0
2015-05-06,42.0
2015-05-07,26.0
2015-05-08,53.0
2015-05-09,44.0
2015-05-10,39.0
2015-05-11,34.0
2015-05-12,43.0
2015-05-13,39.0
2015-05-14,38.0
2015-05-15,49.0
2015-05-16,32.0
2015-05-17,38.0
2015-05-18,78.0
2015-05-19,26.0
2015-05-20,56.0
2015-05-21,43.0
2015-05-22,51.0
2015-05-23,33.0
2015-05-24,35.0
2015-05-25,37.0
2015-05-26,33.0
2015-05-27,28.0
2015-05-28,38.0
2015-05-29,30.0
2015-05-30,32.0
2015-05-31,36.0
2015-06-01,39.0
2015-06-02,17.0
2015-06-03,27.0
2015-06-04,18.0
2015-06-05,24.0
2015-06-06,27.0
2015-06-07,40.0
2015-06-08,59.0
2015-06-09,76.0
2015-06-10,36.0
2015-06-11,54.0
2015-06-12,61.0
2015-06-13,51.0
2015-06-14,38.0
2015-06-15,33.0
2015-06-16,29.0
2015-06-17,21.0
2015-06-18,25.0
2015-06-19,24.0
2015-06-20,36.0
2015-06-21,41.0
2015-06-22,24.0
2015-06-23,39.0
2015-06-24,36.0
2015-06-25,32.0
2015-06-26,29.0
2015-06-27,43.0
2015-06-28,44.0
2015-06-29,51.0
2015-06-30,61.0
2015-07-01,39.0
2015-07-02,59.0
2015-07-03,35.0
2015-07-04,58.0
2015-07-05,36.0
2015-07-06,27.0
2015-07-07,25.0
2015-07-08,24.0
2015-07-09,21.0
2015-07-10,29.0
2015-07-11,17.0
2015-07-12,38.0
2015-07-13,40.0
2015-07-14,38.0
2015-07-15,26.0
2015-07-16,31.0
2015-07-17,31.0
2015-07-18,38.0
2015-07-19,38.0
2015-07-20,38.0
2015-07-21,70.0
2015-07-22,77.0
2015-07-23,59.0
2015-07-24,83.0
2015-07-25,74.0
2015-07-26,37.0
2015-07-27,55.0
2015-07-28,31.0
2015-07-29,49.0
2015-07-30,31.0
2015-07-31,23.0
2015-08-01,34.0
2015-08-02,36.0
2015-08-03,40.0
2015-08-04,24.0
2015-08-05,44.0
2015-08-06,38.0
2015-08-07,36.0
2015-08-08,33.0
2015-08-09,42.0
2015-08-10,35.0
2015-08-11,39.0
2015-08-12,27.0
2015-08-13,30.0
2015-08-14,24.0
2015-08-15,23.0
