Date,Volume
2015-03-01,11.0
2015-03-02,12.0
2015-03-03,14.0
2015-03-04,11.0
2015-03-05,13.0
2015-03-06,12.0
2015-03-07,10.0
2015-03-08,10.0
2015-03-09,6.0
2015-03-10,5.0
2015-03-11,7.0
2015-03-12,8.0
2015-03-13,6.0
2015-03-14,8.0
2015-03-15,10.0
2015-03-16,8.0
2015-03-17,10.0
2015-03-18,7.0
2015-03-19,8.0
2015-03-20,8.0
2015-03-21,6.0
2015-03-22,9.0
2015-03-23,18.0
2015-03-24,28.0
2015-03-25,26.0
2015-03-26,22.0
2015-03-27,13.0
2015-03-28,21.0
2015-03-29,9.0
2015-03-30,12.0
2015-03-31,11.0
2015-04-01,15.0
2015-04-02,10.0
2015-04-03,12.0
2015-04-04,14.0
2015-04-05,8.0
2015-04-06,9.0
2015-04-07,9.0
2015-04-08,10.0
2015-04-09,6.0
2015-04-10,6.0
2015-04-11,10.0
2015-04-12,10.0
2015-04-13,9.0
2015-04-14,8.0
2015-04-15,8.0
2015-04-16,11.0
2015-04-17,7.0
2015-04-18,7.0
2015-04-19,10.0
2015-04-20,8.0
2015-04-21,8.0
2015-04-22,8.0
2015-04-23,9.0
2015-04-24,7.0
2015-04-25,6.0
2015-04-26,11.0
2015-04-27,14.0
2015-04-28,14.0
2015-04-29,14.0
2015-04-30,15.0
2015-05-01,13.0
2015-05-02,7.0
2015-05-03,9.0
2015-05-04,13.0
2015-05-05,11.0
2015-05-06,11.0
2015-05-07,10.0
2015-05-08,11.0
2015-05-09,12.0
2015-05-10,10.0
2015-05-11,7.0
2015-05-12,6.0
2015-05-13,9.0
2015-05-14,8.0
2015-05-15,7.0
2015-05-16,5.0
2015-05-17,11.0
2015-05-18,15.0
2015-05-19,12.0
2015-05-20,16.0
2015-05-21,14.0
2015-05-22,15.0
2015-05-23,11.0
2015-05-24,9.0
2015-05-25,9.0
2015-05-26,7.0
2015-05-27,7.0
2015-05-28,5.0
2015-05-29,10.0
2015-05-30,5.0
2015-05-31,10.0
2015-06-01,8.0
2015-06-02,7.0
2015-06-03,6.0
2015-06-04,7.0
2015-06-05,6.0
2015-06-06,7.0
2015-06-07,10.0
2015-06-08,8.0
2015-06-09,11.0
2015-06-10,6.0
2015-06-11,9.0
2015-06-12,7.0
2015-06-13,8.0
2015-06-14,9.0
2015-06-15,11.0
2015-06-16,11.0
2015-06-17,8.0
2015-06-18,7.0
2015-06-19,9.0
2015-06-20,8.0
2015-06-21,11.0
2015-06-22,5.0
2015-06-23,11.0
2015-06-24,11.0
2015-06-25,9.0
2015-06-26,6.0
2015-06-27,9.0
2015-06-28,9.0
2015-06-29,8.0
2015-06-30,10.0
2015-07-01,9.0
2015-07-02,10.0
2015-07-03,9.0
2015-07-04,8.0
2015-07-05,9.0
2015-07-06,5.0
2015-07-07,7.0
2015-07-08,4.0
2015-07-09,6.0
2015-07-10,6.0
2015-07-11,5.0
2015-07-12,10.0
2015-07-13,7.0
2015-07-14,7.0
2015-07-15,7.0
2015-07-16,8.0
2015-07-17,5.0
2015-07-18,7.0
2015-07-19,10.0
2015-07-20,11.0
2015-07-21,15.0
2015-07-22,17.0
2015-07-23,17.0
2015-07-24,17.0
2015-07-25,13.0
2015-07-26,10.0
2015-07-27,10.0
2015-07-28,11.0
2015-07-29,9.0
2015-07-30,10.0
2015-07-31,6.0
2015-08-01,12.0
2015-08-02,9.0
2015-08-03,7.0
2015-08-04,7.0
2015-08-05,7.0
2015-08-06,5.0
2015-08-07,5.0
2015-08-08,7.0
2015-08-09,10.0
2015-08-10,6.0
2015-08-11,11.0
2015-08-12,9.0
2015-08-13,7.0
2015-08-14,8.0
2015-08-15,10.0
2015-08-16,10.0
2015-08-17,10.0
2015-08-18,6.0
2015-08-19,8.0
2015-08-20,10.0
2015-08-21,8.0
2015-08-22,10.0
2015-08-23,7.0
2015-08-24,7.0
2015-08-25,7.0
2015-08-26,7.0
2015-08-27,8.0
2015-08-28,9.0
2015-08-29,5.0
2015-08-30,11.0
2015-08-31,16.0
2015-09-01,12.0
2015-09-02,13.0
2015-09-03,16.0
2015-09-04,8.0
2015-09-05,14.0
2015-09-06,10.0
2015-09-07,9.0
2015-09-08,9.0
2015-09-09,15.0
2015-09-10,13.0
2015-09-11,10.0
2015-09-12,12.0
2015-09-13,9.0
2015-09-14,8.0
2015-09-15,11.0
2015-09-16,8.0
2015-09-17,11.0
2015-09-18,14.0
2015-09-19,13.0
2015-09-20,10.0
2015-09-21,19.0
2015-09-22,16.0
2015-09-23,14.0
2015-09-24,16.0
2015-09-25,17.0
2015-09-26,10.0
2015-09-27,10.0
2015-09-28,8.0
2015-09-29,10.0
2015-09-30,10.0
2015-10-01,11.0
2015-10-02,8.0
2015-10-03,10.0
2015-10-04,12.0
2015-10-05,11.0
2015-10-06,14.0
2015-10-07,17.0
2015-10-08,13.0
2015-10-09,13.0
2015-10-10,16.0
2015-10-11,11.0
2015-10-12,11.0
2015-10-13,19.0
2015-10-14,18.0
2015-10-15,15.0
2015-10-16,14.0
2015-10-17,19.0
2015-10-18,10.0
2015-10-19,9.0
2015-10-20,7.0
2015-10-21,10.0
2015-10-22,9.0
2015-10-23,9.0
2015-10-24,6.0
2015-10-25,11.0
2015-10-26,12.0
2015-10-27,12.0
2015-10-28,13.0
2015-10-29,15.0
2015-10-30,13.0
2015-10-31,12.0
2015-11-01,11.0
2015-11-02,13.0
2015-11-03,10.0
2015-11-04,9.0
2015-11-05,9.0
2015-11-06,10.0
2015-11-07,7.0
2015-11-08,13.0
2015-11-09,12.0
