Date,Volume
2015-03-01,27.0
2015-03-02,44.0
2015-03-03,38.0
2015-03-04,26.0
2015-03-05,30.0
2015-03-06,31.0
2015-03-07,42.0
2015-03-08,29.0
2015-03-09,20.0
2015-03-10,18.0
2015-03-11,33.0
2015-03-12,32.0
2015-03-13,26.0
2015-03-14,31.0
2015-03-15,27.0
2015-03-16,27.0
2015-03-17,29.0
2015-03-18,37.0
2015-03-19,33.0
2015-03-20,23.0
2015-03-21,32.0
2015-03-22,33.0
2015-03-23,33.0
2015-03-24,33.0
2015-03-25,49.0
2015-03-26,44.0
2015-03-27,25.0
2015-03-28,36.0
2015-03-29,30.0
2015-03-30,27.0
2015-03-31,38.0
2015-04-01,46.0
2015-04-02,17.0
2015-04-03,27.0
2015-04-04,41.0
2015-04-05,31.0
2015-04-06,13.0
2015-04-07,19.0
2015-04-08,11.0
2015-04-09,9.0
2015-04-10,10.0
2015-04-11,16.0
2015-04-12,33.0
2015-04-13,31.0
2015-04-14,23.0
2015-04-15,9.0
2015-04-16,25.0
2015-04-17,25.0
2015-04-18,28.0
2015-04-19,30.0
2015-04-20,22.0
2015-04-21,26.0
2015-04-22,19.0
2015-04-23,16.0
2015-04-24,28.0
2015-04-25,23.0
2015-04-26,36.0
2015-04-27,22.0
2015-04-28,25.0
2015-04-29,26.0
2015-04-30,31.0
2015-05-01,30.0
2015-05-02,30.0
2015-05-03,31.0
2015-05-04,26.0
2015-05-05,44.0
2015-05-06,32.0
2015-05-07,33.0
2015-05-08,36.0
2015-05-09,32.0
2015-05-10,30.0
2015-05-11,34.0
2015-05-12,25.0
2015-05-13,33.0
2015-05-14,39.0
2015-05-15,42.0
2015-05-16,30.0
2015-05-17,33.0
2015-05-18,44.0
2015-05-19,32.0
2015-05-20,40.0
2015-05-21,19.0
2015-05-22,41.0
2015-05-23,25.0
2015-05-24,28.0
2015-05-25,32.0
2015-05-26,21.0
2015-05-27,34.0
2015-05-28,35.0
2015-05-29,32.0
2015-05-30,21.0
2015-05-31,30.0
2015-06-01,23.0
2015-06-02,16.0
2015-06-03,17.0
2015-06-04,22.0
2015-06-05,7.0
2015-06-06,28.0
2015-06-07,33.0
2015-06-08,34.0
2015-06-09,38.0
2015-06-10,22.0
2015-06-11,29.0
2015-06-12,39.0
2015-06-13,38.0
