Date,Volume
2015-03-01,21.0
2015-03-02,23.0
2015-03-03,23.0
2015-03-04,18.0
2015-03-05,22.0
2015-03-06,19.0
2015-03-07,18.0
2015-03-08,18.0
2015-03-09,14.0
2015-03-10,7.0
2015-03-11,23.0
2015-03-12,16.0
2015-03-13,9.0
2015-03-14,15.0
2015-03-15,17.0
2015-03-16,23.0
2015-03-17,18.0
2015-03-18,23.0
2015-03-19,23.0
2015-03-20,19.0
2015-03-21,23.0
2015-03-22,17.0
2015-03-23,16.0
2015-03-24,21.0
2015-03-25,28.0
2015-03-26,17.0
2015-03-27,20.0
2015-03-28,17.0
2015-03-29,19.0
2015-03-30,22.0
2015-03-31,26.0
2015-04-01,24.0
2015-04-02,14.0
2015-04-03,29.0
2015-04-04,32.0
2015-04-05,19.0
2015-04-06,19.0
2015-04-07,18.0
2015-04-08,17.0
2015-04-09,18.0
2015-04-10,11.0
2015-04-11,22.0
2015-04-12,17.0
2015-04-13,24.0
2015-04-14,19.0
2015-04-15,7.0
2015-04-16,16.0
2015-04-17,11.0
2015-04-18,14.0
2015-04-19,20.0
2015-04-20,17.0
2015-04-21,27.0
2015-04-22,26.0
2015-04-23,24.0
2015-04-24,19.0
2015-04-25,21.0
2015-04-26,22.0
2015-04-27,23.0
2015-04-28,17.0
2015-04-29,26.0
2015-04-30,35.0
2015-05-01,33.0
2015-05-02,21.0
2015-05-03,19.0
2015-05-04,18.0
2015-05-05,20.0
2015-05-06,20.0
2015-05-07,17.0
2015-05-08,17.0
2015-05-09,21.0
2015-05-10,20.0
2015-05-11,13.0
2015-05-12,18.0
2015-05-13,14.0
2015-05-14,16.0
2015-05-15,15.0
2015-05-16,10.0
2015-05-17,17.0
2015-05-18,26.0
2015-05-19,22.0
2015-05-20,29.0
2015-05-21,25.0
2015-05-22,20.0
2015-05-23,16.0
2015-05-24,17.0
2015-05-25,21.0
2015-05-26,16.0
2015-05-27,18.0
2015-05-28,21.0
2015-05-29,25.0
2015-05-30,16.0
2015-05-31,17.0
2015-06-01,14.0
2015-06-02,11.0
2015-06-03,15.0
2015-06-04,12.0
2015-06-05,13.0
2015-06-06,15.0
2015-06-07,18.0
2015-06-08,22.0
2015-06-09,27.0
2015-06-10,19.0
2015-06-11,24.0
2015-06-12,17.0
2015-06-13,16.0
2015-06-14,17.0
2015-06-15,20.0
2015-06-16,19.0
2015-06-17,12.0
2015-06-18,10.0
2015-06-19,10.0
2015-06-20,18.0
2015-06-21,19.0
2015-06-22,14.0
2015-06-23,24.0
2015-06-24,22.0
2015-06-25,15.0
2015-06-26,17.0
2015-06-27,21.0
2015-06-28,17.0
2015-06-29,19.0
2015-06-30,18.0
2015-07-01,19.0
2015-07-02,16.0
2015-07-03,13.0
2015-07-04,14.0
2015-07-05,20.0
2015-07-06,12.0
2015-07-07,14.0
2015-07-08,14.0
2015-07-09,14.0
2015-07-10,13.0
2015-07-11,7.0
2015-07-12,21.0
2015-07-13,17.0
2015-07-14,17.0
2015-07-15,16.0
2015-07-16,17.0
2015-07-17,13.0
2015-07-18,16.0
2015-07-19,18.0
2015-07-20,22.0
2015-07-21,35.0
2015-07-22,30.0
2015-07-23,23.0
2015-07-24,34.0
2015-07-25,29.0
2015-07-26,17.0
2015-07-27,17.0
2015-07-28,22.0
2015-07-29,23.0
2015-07-30,16.0
2015-07-31,14.0
2015-08-01,15.0
2015-08-02,15.0
2015-08-03,11.0
2015-08-04,11.0
2015-08-05,14.0
2015-08-06,20.0
2015-08-07,13.0
2015-08-08,15.0
2015-08-09,19.0
