Date,Volume
2015-03-01,28.0
2015-03-02,34.0
2015-03-03,38.0
2015-03-04,29.0
2015-03-05,32.0
2015-03-06,30.0
2015-03-07,32.0
2015-03-08,25.0
2015-03-09,19.0
2015-03-10,20.0
2015-03-11,35.0
2015-03-12,21.0
2015-03-13,28.0
2015-03-14,23.0
2015-03-15,26.0
2015-03-16,13.0
2015-03-17,15.0
2015-03-18,11.0
2015-03-19,19.0
2015-03-20,16.0
2015-03-21,21.0
2015-03-22,27.0
2015-03-23,41.0
2015-03-24,25.0
2015-03-25,52.0
2015-03-26,42.0
2015-03-27,37.0
2015-03-28,32.0
2015-03-29,27.0
2015-03-30,43.0
2015-03-31,40.0
2015-04-01,47.0
2015-04-02,37.0
2015-04-03,33.0
2015-04-04,43.0
2015-04-05,25.0
2015-04-06,19.0
2015-04-07,22.0
2015-04-08,21.0
2015-04-09,14.0
2015-04-10,10.0
2015-04-11,20.0
2015-04-12,33.0
2015-04-13,27.0
2015-04-14,10.0
2015-04-15,7.0
2015-04-16,13.0
2015-04-17,13.0
2015-04-18,9.0
2015-04-19,29.0
2015-04-20,20.0
2015-04-21,29.0
2015-04-22,30.0
2015-04-23,32.0
2015-04-24,30.0
2015-04-25,21.0
2015-04-26,29.0
2015-04-27,31.0
2015-04-28,27.0
2015-04-29,35.0
2015-04-30,54.0
2015-05-01,31.0
2015-05-02,57.0
2015-05-03,31.0
2015-05-04,24.0
2015-05-05,24.0
2015-05-06,29.0
2015-05-07,25.0
2015-05-08,20.0
2015-05-09,25.0
2015-05-10,27.0
2015-05-11,24.0
2015-05-12,18.0
2015-05-13,23.0
2015-05-14,23.0
2015-05-15,27.0
2015-05-16,14.0
2015-05-17,27.0
2015-05-18,41.0
2015-05-19,33.0
2015-05-20,51.0
2015-05-21,26.0
2015-05-22,34.0
2015-05-23,29.0
2015-05-24,23.0
2015-05-25,22.0
2015-05-26,16.0
2015-05-27,13.0
2015-05-28,21.0
2015-05-29,25.0
2015-05-30,14.0
2015-05-31,28.0
2015-06-01,23.0
2015-06-02,25.0
2015-06-03,25.0
2015-06-04,19.0
2015-06-05,23.0
2015-06-06,32.0
2015-06-07,26.0
2015-06-08,33.0
2015-06-09,48.0
2015-06-10,34.0
2015-06-11,36.0
2015-06-12,32.0
2015-06-13,45.0
2015-06-14,25.0
2015-06-15,21.0
2015-06-16,19.0
2015-06-17,13.0
2015-06-18,15.0
2015-06-19,15.0
2015-06-20,22.0
2015-06-21,31.0
2015-06-22,19.0
2015-06-23,32.0
2015-06-24,23.0
2015-06-25,20.0
2015-06-26,17.0
2015-06-27,26.0
2015-06-28,28.0
2015-06-29,38.0
2015-06-30,48.0
2015-07-01,43.0
2015-07-02,39.0
2015-07-03,29.0
2015-07-04,33.0
2015-07-05,27.0
2015-07-06,11.0
2015-07-07,11.0
2015-07-08,18.0
2015-07-09,13.0
2015-07-10,15.0
2015-07-11,18.0
2015-07-12,30.0
2015-07-13,31.0
2015-07-14,28.0
2015-07-15,19.0
2015-07-16,18.0
2015-07-17,16.0
2015-07-18,21.0
2015-07-19,31.0
2015-07-20,40.0
2015-07-21,45.0
2015-07-22,45.0
2015-07-23,45.0
2015-07-24,59.0
2015-07-25,36.0
2015-07-26,27.0
2015-07-27,51.0
2015-07-28,37.0
2015-07-29,39.0
2015-07-30,26.0
2015-07-31,31.0
2015-08-01,23.0
2015-08-02,23.0
2015-08-03,22.0
2015-08-04,7.0
2015-08-05,19.0
2015-08-06,17.0
2015-08-07,16.0
2015-08-08,18.0
2015-08-09,27.0
2015-08-10,23.0
2015-08-11,33.0
2015-08-12,20.0
2015-08-13,27.0
2015-08-14,26.0
2015-08-15,23.0
2015-08-16,29.0
2015-08-17,16.0
2015-08-18,16.0
2015-08-19,22.0
2015-08-20,22.0
2015-08-21,16.0
2015-08-22,16.0
2015-08-23,25.0
2015-08-24,11.0
2015-08-25,16.0
2015-08-26,20.0
2015-08-27,27.0
2015-08-28,16.0
2015-08-29,10.0
2015-08-30,31.0
2015-08-31,34.0
2015-09-01,42.0
2015-09-02,50.0
2015-09-03,46.0
2015-09-04,26.0
2015-09-05,55.0
2015-09-06,34.0
2015-09-07,30.0
2015-09-08,29.0
2015-09-09,35.0
2015-09-10,27.0
2015-09-11,36.0
2015-09-12,31.0
2015-09-13,29.0
2015-09-14,27.0
2015-09-15,39.0
2015-09-16,25.0
2015-09-17,32.0
2015-09-18,35.0
2015-09-19,35.0
2015-09-20,29.0
2015-09-21,32.0
2015-09-22,39.0
2015-09-23,29.0
2015-09-24,50.0
2015-09-25,31.0
2015-09-26,27.0
2015-09-27,30.0
2015-09-28,28.0
2015-09-29,39.0
2015-09-30,31.0
2015-10-01,50.0
2015-10-02,29.0
2015-10-03,37.0
2015-10-04,31.0
2015-10-05,28.0
2015-10-06,27.0
2015-10-07,32.0
2015-10-08,26.0
2015-10-09,32.0
2015-10-10,33.0
2015-10-11,32.0
2015-10-12,16.0
2015-10-13,45.0
2015-10-14,39.0
2015-10-15,50.0
2015-10-16,32.0
2015-10-17,38.0
2015-10-18,34.0
2015-10-19,36.0
2015-10-20,38.0
2015-10-21,45.0
2015-10-22,40.0
2015-10-23,39.0
2015-10-24,29.0
2015-10-25,32.0
2015-10-26,39.0
2015-10-27,27.0
2015-10-28,24.0
2015-10-29,27.0
2015-10-30,24.0
2015-10-31,31.0
2015-11-01,32.0
2015-11-02,53.0
2015-11-03,26.0
2015-11-04,32.0
2015-11-05,30.0
2015-11-06,32.0
2015-11-07,20.0
2015-11-08,39.0
2015-11-09,38.0
2015-11-10,38.0
2015-11-11,39.0
2015-11-12,45.0
2015-11-13,33.0
2015-11-14,38.0
2015-11-15,37.0
2015-11-16,50.0
2015-11-17,47.0
2015-11-18,34.0
2015-11-19,31.0
2015-11-20,27.0
2015-11-21,30.0
2015-11-22,32.0
2015-11-23,45.0
2015-11-24,34.0
2015-11-25,32.0
2015-11-26,32.0
2015-11-27,34.0
2015-11-28,34.0
2015-11-29,36.0
2015-11-30,42.0
2015-12-01,48.0
2015-12-02,47.0
2015-12-03,56.0
2015-12-04,46.0
2015-12-05,50.0
2015-12-06,36.0
2015-12-07,29.0
2015-12-08,28.0
2015-12-09,40.0
2015-12-10,40.0
2015-12-11,35.0
2015-12-12,34.0
2015-12-13,33.0
2015-12-14,57.0
2015-12-15,46.0
2015-12-16,68.0
2015-12-17,47.0
