Date,Volume
2015-03-01,21.0
2015-03-02,33.0
2015-03-03,37.0
2015-03-04,28.0
2015-03-05,34.0
2015-03-06,27.0
2015-03-07,23.0
2015-03-08,18.0
2015-03-09,11.0
2015-03-10,9.0
2015-03-11,16.0
2015-03-12,17.0
2015-03-13,13.0
2015-03-14,16.0
2015-03-15,17.0
2015-03-16,16.0
2015-03-17,23.0
2015-03-18,22.0
2015-03-19,28.0
2015-03-20,22.0
2015-03-21,18.0
2015-03-22,20.0
2015-03-23,26.0
2015-03-24,31.0
2015-03-25,37.0
2015-03-26,26.0
2015-03-27,31.0
2015-03-28,24.0
2015-03-29,20.0
2015-03-30,24.0
2015-03-31,24.0
2015-04-01,20.0
2015-04-02,16.0
2015-04-03,23.0
2015-04-04,32.0
2015-04-05,17.0
2015-04-06,12.0
2015-04-07,11.0
2015-04-08,11.0
2015-04-09,8.0
2015-04-10,10.0
2015-04-11,11.0
2015-04-12,19.0
2015-04-13,29.0
2015-04-14,23.0
2015-04-15,14.0
2015-04-16,26.0
2015-04-17,24.0
2015-04-18,16.0
2015-04-19,20.0
2015-04-20,18.0
2015-04-21,30.0
2015-04-22,20.0
2015-04-23,16.0
2015-04-24,19.0
2015-04-25,18.0
2015-04-26,20.0
2015-04-27,15.0
2015-04-28,13.0
2015-04-29,20.0
2015-04-30,26.0
2015-05-01,15.0
2015-05-02,13.0
2015-05-03,18.0
2015-05-04,15.0
2015-05-05,21.0
2015-05-06,17.0
2015-05-07,17.0
2015-05-08,16.0
2015-05-09,20.0
2015-05-10,18.0
2015-05-11,13.0
2015-05-12,12.0
2015-05-13,16.0
2015-05-14,16.0
2015-05-15,12.0
2015-05-16,11.0
2015-05-17,24.0
2015-05-18,22.0
2015-05-19,17.0
2015-05-20,24.0
2015-05-21,21.0
2015-05-22,17.0
2015-05-23,18.0
2015-05-24,17.0
2015-05-25,14.0
2015-05-26,11.0
2015-05-27,17.0
2015-05-28,15.0
2015-05-29,14.0
2015-05-30,7.0
2015-05-31,18.0
2015-06-01,12.0
2015-06-02,9.0
2015-06-03,16.0
2015-06-04,11.0
2015-06-05,12.0
2015-06-06,12.0
2015-06-07,18.0
2015-06-08,16.0
2015-06-09,28.0
2015-06-10,21.0
2015-06-11,25.0
2015-06-12,24.0
2015-06-13,16.0
2015-06-14,21.0
2015-06-15,19.0
2015-06-16,17.0
2015-06-17,18.0
2015-06-18,13.0
2015-06-19,19.0
2015-06-20,20.0
2015-06-21,20.0
2015-06-22,16.0
2015-06-23,22.0
2015-06-24,19.0
2015-06-25,29.0
2015-06-26,19.0
2015-06-27,21.0
2015-06-28,20.0
2015-06-29,32.0
2015-06-30,28.0
2015-07-01,27.0
2015-07-02,36.0
2015-07-03,32.0
2015-07-04,27.0
2015-07-05,17.0
2015-07-06,13.0
2015-07-07,9.0
2015-07-08,8.0
2015-07-09,11.0
2015-07-10,9.0
2015-07-11,9.0
2015-07-12,21.0
2015-07-13,16.0
2015-07-14,16.0
2015-07-15,19.0
2015-07-16,13.0
2015-07-17,15.0
2015-07-18,17.0
2015-07-19,18.0
2015-07-20,19.0
2015-07-21,22.0
2015-07-22,25.0
2015-07-23,20.0
2015-07-24,28.0
2015-07-25,27.0
2015-07-26,20.0
2015-07-27,28.0
2015-07-28,29.0
2015-07-29,27.0
2015-07-30,27.0
2015-07-31,16.0
2015-08-01,28.0
2015-08-02,18.0
2015-08-03,20.0
2015-08-04,18.0
2015-08-05,17.0
2015-08-06,14.0
2015-08-07,14.0
2015-08-08,17.0
2015-08-09,19.0
2015-08-10,18.0
2015-08-11,23.0
2015-08-12,18.0
