Date,Volume
2015-03-01,25.0
2015-03-02,62.0
2015-03-03,64.0
2015-03-04,56.0
2015-03-05,49.0
2015-03-06,46.0
2015-03-07,55.0
2015-03-08,26.0
2015-03-09,18.0
2015-03-10,18.0
2015-03-11,29.0
2015-03-12,29.0
2015-03-13,18.0
2015-03-14,22.0
2015-03-15,21.0
2015-03-16,33.0
2015-03-17,35.0
2015-03-18,23.0
2015-03-19,38.0
2015-03-20,36.0
2015-03-21,30.0
2015-03-22,21.0
2015-03-23,17.0
2015-03-24,16.0
2015-03-25,35.0
2015-03-26,23.0
2015-03-27,20.0
2015-03-28,18.0
2015-03-29,25.0
2015-03-30,30.0
2015-03-31,27.0
2015-04-01,40.0
2015-04-02,25.0
2015-04-03,27.0
2015-04-04,32.0
2015-04-05,18.0
2015-04-06,12.0
2015-04-07,12.0
2015-04-08,16.0
2015-04-09,8.0
2015-04-10,9.0
2015-04-11,12.0
2015-04-12,24.0
2015-04-13,39.0
2015-04-14,42.0
2015-04-15,25.0
2015-04-16,33.0
2015-04-17,20.0
2015-04-18,43.0
2015-04-19,23.0
2015-04-20,19.0
2015-04-21,20.0
2015-04-22,17.0
2015-04-23,19.0
2015-04-24,20.0
2015-04-25,25.0
2015-04-26,24.0
2015-04-27,13.0
2015-04-28,18.0
2015-04-29,26.0
2015-04-30,19.0
2015-05-01,14.0
2015-05-02,13.0
2015-05-03,21.0
2015-05-04,27.0
2015-05-05,28.0
2015-05-06,24.0
2015-05-07,28.0
2015-05-08,31.0
2015-05-09,29.0
2015-05-10,22.0
2015-05-11,14.0
2015-05-12,15.0
2015-05-13,21.0
2015-05-14,31.0
2015-05-15,22.0
2015-05-16,20.0
2015-05-17,22.0
2015-05-18,24.0
2015-05-19,32.0
2015-05-20,36.0
2015-05-21,33.0
2015-05-22,27.0
2015-05-23,20.0
2015-05-24,21.0
2015-05-25,19.0
2015-05-26,21.0
2015-05-27,15.0
2015-05-28,20.0
2015-05-29,17.0
2015-05-30,17.0
2015-05-31,25.0
2015-06-01,31.0
2015-06-02,21.0
2015-06-03,25.0
2015-06-04,17.0
2015-06-05,25.0
2015-06-06,27.0
2015-06-07,25.0
2015-06-08,29.0
2015-06-09,42.0
2015-06-10,33.0
2015-06-11,27.0
2015-06-12,31.0
2015-06-13,44.0
2015-06-14,21.0
2015-06-15,26.0
2015-06-16,17.0
2015-06-17,18.0
2015-06-18,10.0
2015-06-19,21.0
2015-06-20,25.0
2015-06-21,23.0
2015-06-22,16.0
2015-06-23,26.0
2015-06-24,20.0
2015-06-25,20.0
2015-06-26,21.0
2015-06-27,21.0
2015-06-28,25.0
2015-06-29,31.0
2015-06-30,24.0
2015-07-01,31.0
2015-07-02,26.0
2015-07-03,14.0
2015-07-04,24.0
2015-07-05,22.0
2015-07-06,12.0
2015-07-07,18.0
2015-07-08,15.0
2015-07-09,12.0
2015-07-10,18.0
2015-07-11,11.0
2015-07-12,26.0
2015-07-13,25.0
2015-07-14,17.0
2015-07-15,21.0
2015-07-16,21.0
2015-07-17,27.0
2015-07-18,27.0
2015-07-19,22.0
2015-07-20,19.0
2015-07-21,34.0
2015-07-22,48.0
2015-07-23,47.0
2015-07-24,39.0
2015-07-25,35.0
2015-07-26,23.0
2015-07-27,35.0
2015-07-28,25.0
2015-07-29,35.0
2015-07-30,18.0
2015-07-31,17.0
2015-08-01,21.0
2015-08-02,21.0
2015-08-03,14.0
2015-08-04,10.0
2015-08-05,19.0
2015-08-06,13.0
2015-08-07,16.0
2015-08-08,16.0
2015-08-09,24.0
2015-08-10,18.0
2015-08-11,22.0
2015-08-12,17.0
2015-08-13,20.0
2015-08-14,21.0
2015-08-15,27.0
2015-08-16,25.0
2015-08-17,19.0
2015-08-18,28.0
2015-08-19,14.0
2015-08-20,19.0
2015-08-21,20.0
2015-08-22,22.0
2015-08-23,20.0
2015-08-24,27.0
2015-08-25,24.0
2015-08-26,28.0
2015-08-27,25.0
2015-08-28,21.0
2015-08-29,18.0
2015-08-30,30.0
2015-08-31,39.0
2015-09-01,33.0
2015-09-02,34.0
2015-09-03,38.0
2015-09-04,17.0
2015-09-05,50.0
2015-09-06,27.0
2015-09-07,30.0
2015-09-08,28.0
2015-09-09,29.0
2015-09-10,29.0
2015-09-11,30.0
2015-09-12,26.0
2015-09-13,24.0
2015-09-14,13.0
2015-09-15,25.0
2015-09-16,25.0
2015-09-17,34.0
2015-09-18,34.0
2015-09-19,26.0
2015-09-20,25.0
2015-09-21,25.0
2015-09-22,22.0
2015-09-23,17.0
2015-09-24,24.0
2015-09-25,16.0
2015-09-26,20.0
2015-09-27,24.0
2015-09-28,17.0
2015-09-29,34.0
2015-09-30,19.0
2015-10-01,34.0
2015-10-02,24.0
2015-10-03,36.0
2015-10-04,27.0
2015-10-05,16.0
2015-10-06,19.0
2015-10-07,23.0
2015-10-08,30.0
2015-10-09,24.0
2015-10-10,35.0
2015-10-11,26.0
2015-10-12,16.0
2015-10-13,37.0
2015-10-14,36.0
2015-10-15,30.0
2015-10-16,28.0
2015-10-17,37.0
2015-10-18,25.0
2015-10-19,20.0
2015-10-20,20.0
2015-10-21,25.0
2015-10-22,16.0
2015-10-23,20.0
2015-10-24,16.0
2015-10-25,25.0
2015-10-26,30.0
2015-10-27,34.0
2015-10-28,37.0
2015-10-29,33.0
2015-10-30,30.0
2015-10-31,32.0
2015-11-01,25.0
2015-11-02,28.0
2015-11-03,19.0
