Date,Volume
2015-11-01,79.0
2015-11-02,81.0
2015-11-03,77.0
2015-11-04,76.0
2015-11-05,69.0
2015-11-06,68.0
2015-11-07,60.0
2015-11-08,79.0
2015-11-09,93.0
2015-11-10,86.0
2015-11-11,66.0
2015-11-12,85.0
2015-11-13,85.0
2015-11-14,65.0
2015-11-15,91.0
2015-11-16,79.0
2015-11-17,85.0
2015-11-18,82.0
2015-11-19,76.0
2015-11-20,77.0
2015-11-21,75.0
2015-11-22,68.0
2015-11-23,89.0
2015-11-24,89.0
2015-11-25,73.0
2015-11-26,66.0
2015-11-27,62.0
2015-11-28,75.0
2015-11-29,88.0
2015-11-30,82.0
2015-12-01,100.0
2015-12-02,53.0
2015-12-03,88.0
2015-12-04,75.0
2015-12-05,61.0
2015-12-06,69.0
2015-12-07,72.0
2015-12-08,71.0
2015-12-09,75.0
2015-12-10,83.0
2015-12-11,67.0
2015-12-12,74.0
2015-12-13,47.0
2015-12-14,74.0
2015-12-15,78.0
2015-12-16,78.0
2015-12-17,70.0
2015-12-18,70.0
2015-12-19,63.0
2015-12-20,60.0
2015-12-21,71.0
2015-12-22,61.0
2015-12-23,71.0
2015-12-24,63.0
2015-12-25,90.0
2015-12-26,56.0
2015-12-27,46.0
2015-12-28,82.0
2015-12-29,55.0
2015-12-30,74.0
2015-12-31,81.0
2016-01-01,12.0
2016-01-02,14.0
2016-01-03,12.0
2016-01-04,11.0
2016-01-05,14.0
2016-01-06,10.0
