Date,Volume
2015-11-01,80.0
2015-11-02,74.0
2015-11-03,53.0
2015-11-04,77.0
2015-11-05,67.0
2015-11-06,70.0
2015-11-07,42.0
2015-11-08,73.0
2015-11-09,99.0
2015-11-10,82.0
2015-11-11,69.0
2015-11-12,78.0
2015-11-13,70.0
2015-11-14,60.0
2015-11-15,85.0
2015-11-16,95.0
2015-11-17,100.0
2015-11-18,70.0
2015-11-19,79.0
2015-11-20,72.0
2015-11-21,75.0
2015-11-22,66.0
2015-11-23,66.0
2015-11-24,74.0
2015-11-25,70.0
2015-11-26,52.0
2015-11-27,70.0
2015-11-28,68.0
2015-11-29,70.0
2015-11-30,74.0
2015-12-01,82.0
2015-12-02,72.0
2015-12-03,74.0
2015-12-04,66.0
2015-12-05,86.0
2015-12-06,60.0
2015-12-07,44.0
2015-12-08,71.0
2015-12-09,80.0
2015-12-10,89.0
2015-12-11,72.0
2015-12-12,65.0
2015-12-13,50.0
2015-12-14,58.0
2015-12-15,51.0
2015-12-16,85.0
2015-12-17,61.0
2015-12-18,68.0
2015-12-19,67.0
2015-12-20,43.0
2015-12-21,53.0
2015-12-22,48.0
2015-12-23,60.0
2015-12-24,67.0
2015-12-25,62.0
2015-12-26,38.0
2015-12-27,56.0
2015-12-28,76.0
2015-12-29,44.0
2015-12-30,42.0
2015-12-31,51.0
2016-01-01,12.0
2016-01-02,13.0
2016-01-03,18.0
2016-01-04,19.0
2016-01-05,20.0
2016-01-06,12.0
