Date,Volume
2015-11-01,77.0
2015-11-02,67.0
2015-11-03,86.0
2015-11-04,62.0
2015-11-05,61.0
2015-11-06,65.0
2015-11-07,57.0
2015-11-08,67.0
2015-11-09,69.0
2015-11-10,92.0
2015-11-11,91.0
2015-11-12,93.0
2015-11-13,63.0
2015-11-14,62.0
2015-11-15,79.0
2015-11-16,96.0
2015-11-17,100.0
2015-11-18,70.0
2015-11-19,56.0
2015-11-20,81.0
2015-11-21,77.0
2015-11-22,54.0
2015-11-23,77.0
2015-11-24,77.0
2015-11-25,77.0
2015-11-26,65.0
2015-11-27,70.0
2015-11-28,77.0
2015-11-29,88.0
2015-11-30,77.0
2015-12-01,84.0
2015-12-02,75.0
2015-12-03,69.0
2015-12-04,81.0
2015-12-05,63.0
2015-12-06,70.0
2015-12-07,81.0
2015-12-08,74.0
2015-12-09,58.0
2015-12-10,74.0
2015-12-11,94.0
2015-12-12,73.0
2015-12-13,67.0
2015-12-14,53.0
2015-12-15,53.0
2015-12-16,96.0
2015-12-17,41.0
2015-12-18,74.0
2015-12-19,43.0
2015-12-20,37.0
2015-12-21,37.0
2015-12-22,45.0
2015-12-23,54.0
2015-12-24,35.0
2015-12-25,59.0
2015-12-26,46.0
2015-12-27,50.0
2015-12-28,77.0
2015-12-29,49.0
2015-12-30,67.0
2015-12-31,45.0
2016-01-01,17.0
2016-01-02,16.0
2016-01-03,21.0
2016-01-04,19.0
2016-01-05,22.0
2016-01-06,14.0
