Date,Volume
2015-11-01,65.0
2015-11-02,77.0
2015-11-03,68.0
2015-11-04,56.0
2015-11-05,58.0
2015-11-06,72.0
2015-11-07,58.0
2015-11-08,100.0
2015-11-09,82.0
2015-11-10,82.0
2015-11-11,73.0
2015-11-12,93.0
2015-11-13,62.0
2015-11-14,61.0
2015-11-15,76.0
2015-11-16,64.0
2015-11-17,68.0
2015-11-18,66.0
2015-11-19,71.0
2015-11-20,74.0
2015-11-21,50.0
2015-11-22,58.0
2015-11-23,45.0
2015-11-24,72.0
2015-11-25,50.0
2015-11-26,48.0
2015-11-27,62.0
2015-11-28,87.0
2015-11-29,76.0
2015-11-30,71.0
2015-12-01,74.0
2015-12-02,75.0
2015-12-03,71.0
2015-12-04,64.0
2015-12-05,59.0
2015-12-06,55.0
2015-12-07,70.0
2015-12-08,69.0
2015-12-09,86.0
2015-12-10,76.0
2015-12-11,69.0
2015-12-12,64.0
2015-12-13,58.0
2015-12-14,79.0
2015-12-15,40.0
2015-12-16,92.0
2015-12-17,58.0
2015-12-18,58.0
2015-12-19,63.0
2015-12-20,68.0
2015-12-21,56.0
2015-12-22,45.0
2015-12-23,54.0
2015-12-24,63.0
2015-12-25,65.0
2015-12-26,31.0
2015-12-27,45.0
2015-12-28,39.0
2015-12-29,35.0
2015-12-30,61.0
2015-12-31,50.0
2016-01-01,25.0
2016-01-02,25.0
2016-01-03,27.0
2016-01-04,26.0
2016-01-05,36.0
2016-01-06,23.0
