Date,Volume
2015-11-01,74.0
2015-11-02,77.0
2015-11-03,54.0
2015-11-04,54.0
2015-11-05,55.0
2015-11-06,62.0
2015-11-07,52.0
2015-11-08,66.0
2015-11-09,91.0
2015-11-10,71.0
2015-11-11,66.0
2015-11-12,79.0
2015-11-13,63.0
2015-11-14,63.0
2015-11-15,77.0
2015-11-16,89.0
2015-11-17,81.0
2015-11-18,88.0
2015-11-19,57.0
2015-11-20,70.0
2015-11-21,80.0
2015-11-22,51.0
2015-11-23,62.0
2015-11-24,59.0
2015-11-25,54.0
2015-11-26,44.0
2015-11-27,70.0
2015-11-28,60.0
2015-11-29,37.0
2015-11-30,48.0
2015-12-01,80.0
2015-12-02,66.0
2015-12-03,64.0
2015-12-04,54.0
2015-12-05,67.0
2015-12-06,57.0
2015-12-07,71.0
2015-12-08,67.0
2015-12-09,71.0
2015-12-10,60.0
2015-12-11,75.0
2015-12-12,58.0
2015-12-13,48.0
2015-12-14,63.0
2015-12-15,54.0
2015-12-16,100.0
2015-12-17,37.0
2015-12-18,69.0
2015-12-19,55.0
2015-12-20,52.0
2015-12-21,53.0
2015-12-22,38.0
2015-12-23,48.0
2015-12-24,47.0
2015-12-25,78.0
2015-12-26,50.0
2015-12-27,24.0
2015-12-28,75.0
2015-12-29,54.0
2015-12-30,58.0
2015-12-31,58.0
2016-01-01,34.0
2016-01-02,26.0
2016-01-03,36.0
2016-01-04,40.0
2016-01-05,51.0
2016-01-06,27.0
