Date,Volume
2015-11-01,71.0
2015-11-02,66.0
2015-11-03,54.0
2015-11-04,59.0
2015-11-05,48.0
2015-11-06,59.0
2015-11-07,66.0
2015-11-08,76.0
2015-11-09,77.0
2015-11-10,72.0
2015-11-11,75.0
2015-11-12,65.0
2015-11-13,57.0
2015-11-14,55.0
2015-11-15,78.0
2015-11-16,100.0
2015-11-17,70.0
2015-11-18,63.0
2015-11-19,69.0
2015-11-20,74.0
2015-11-21,63.0
2015-11-22,68.0
2015-11-23,59.0
2015-11-24,67.0
2015-11-25,57.0
2015-11-26,57.0
2015-11-27,50.0
2015-11-28,100.0
2015-11-29,60.0
2015-11-30,66.0
2015-12-01,78.0
2015-12-02,63.0
2015-12-03,93.0
2015-12-04,78.0
2015-12-05,70.0
2015-12-06,60.0
2015-12-07,68.0
2015-12-08,69.0
2015-12-09,66.0
2015-12-10,55.0
2015-12-11,83.0
2015-12-12,70.0
2015-12-13,63.0
2015-12-14,87.0
2015-12-15,78.0
2015-12-16,97.0
2015-12-17,55.0
2015-12-18,78.0
2015-12-19,54.0
2015-12-20,53.0
2015-12-21,70.0
2015-12-22,45.0
2015-12-23,62.0
2015-12-24,57.0
2015-12-25,74.0
2015-12-26,54.0
2015-12-27,47.0
2015-12-28,57.0
2015-12-29,54.0
2015-12-30,50.0
2015-12-31,47.0
2016-01-01,39.0
2016-01-02,41.0
2016-01-03,55.0
2016-01-04,45.0
2016-01-05,65.0
2016-01-06,46.0
