Date,Volume
2015-11-01,60.0
2015-11-02,53.0
2015-11-03,50.0
2015-11-04,50.0
2015-11-05,48.0
2015-11-06,47.0
2015-11-07,52.0
2015-11-08,99.0
2015-11-09,89.0
2015-11-10,62.0
2015-11-11,88.0
2015-11-12,88.0
2015-11-13,50.0
2015-11-14,55.0
2015-11-15,92.0
2015-11-16,89.0
2015-11-17,88.0
2015-11-18,100.0
2015-11-19,93.0
2015-11-20,71.0
2015-11-21,58.0
2015-11-22,51.0
2015-11-23,71.0
2015-11-24,64.0
2015-11-25,47.0
2015-11-26,53.0
2015-11-27,59.0
2015-11-28,96.0
2015-11-29,54.0
2015-11-30,58.0
2015-12-01,78.0
2015-12-02,68.0
2015-12-03,80.0
2015-12-04,80.0
2015-12-05,80.0
2015-12-06,62.0
2015-12-07,71.0
2015-12-08,72.0
2015-12-09,68.0
2015-12-10,57.0
2015-12-11,84.0
2015-12-12,80.0
2015-12-13,55.0
2015-12-14,58.0
2015-12-15,64.0
2015-12-16,89.0
2015-12-17,66.0
2015-12-18,82.0
2015-12-19,74.0
2015-12-20,51.0
2015-12-21,47.0
2015-12-22,55.0
2015-12-23,54.0
2015-12-24,49.0
2015-12-25,93.0
2015-12-26,41.0
2015-12-27,58.0
2015-12-28,64.0
2015-12-29,61.0
2015-12-30,36.0
2015-12-31,51.0
2016-01-01,67.0
2016-01-02,62.0
2016-01-03,71.0
2016-01-04,49.0
2016-01-05,81.0
2016-01-06,56.0
