Date,Volume
2015-11-01,89.0
2015-11-02,78.0
2015-11-03,54.0
2015-11-04,66.0
2015-11-05,55.0
2015-11-06,78.0
2015-11-07,47.0
2015-11-08,77.0
2015-11-09,82.0
2015-11-10,100.0
2015-11-11,97.0
2015-11-12,70.0
2015-11-13,63.0
2015-11-14,68.0
2015-11-15,99.0
2015-11-16,82.0
2015-11-17,80.0
2015-11-18,84.0
2015-11-19,59.0
2015-11-20,82.0
2015-11-21,81.0
2015-11-22,58.0
2015-11-23,66.0
2015-11-24,54.0
2015-11-25,72.0
2015-11-26,69.0
2015-11-27,72.0
2015-11-28,79.0
2015-11-29,67.0
2015-11-30,59.0
2015-12-01,92.0
2015-12-02,84.0
2015-12-03,64.0
2015-12-04,61.0
2015-12-05,74.0
2015-12-06,51.0
2015-12-07,72.0
2015-12-08,73.0
2015-12-09,66.0
2015-12-10,79.0
2015-12-11,86.0
2015-12-12,73.0
2015-12-13,67.0
2015-12-14,81.0
2015-12-15,71.0
2015-12-16,98.0
2015-12-17,60.0
2015-12-18,69.0
2015-12-19,55.0
2015-12-20,37.0
2015-12-21,49.0
2015-12-22,70.0
2015-12-23,57.0
2015-12-24,58.0
2015-12-25,68.0
2015-12-26,43.0
2015-12-27,49.0
2015-12-28,74.0
2015-12-29,48.0
2015-12-30,62.0
2015-12-31,52.0
2016-01-01,13.0
2016-01-02,13.0
2016-01-03,14.0
2016-01-04,15.0
2016-01-05,23.0
2016-01-06,14.0
