Date,Volume
2015-11-01,80.0
2015-11-02,67.0
2015-11-03,60.0
2015-11-04,48.0
2015-11-05,71.0
2015-11-06,64.0
2015-11-07,57.0
2015-11-08,53.0
2015-11-09,70.0
2015-11-10,67.0
2015-11-11,72.0
2015-11-12,62.0
2015-11-13,58.0
2015-11-14,60.0
2015-11-15,80.0
2015-11-16,100.0
2015-11-17,87.0
2015-11-18,51.0
2015-11-19,64.0
2015-11-20,54.0
2015-11-21,74.0
2015-11-22,66.0
2015-11-23,67.0
2015-11-24,69.0
2015-11-25,76.0
2015-11-26,51.0
2015-11-27,42.0
2015-11-28,74.0
2015-11-29,52.0
2015-11-30,77.0
2015-12-01,83.0
2015-12-02,54.0
2015-12-03,76.0
2015-12-04,76.0
2015-12-05,93.0
2015-12-06,67.0
2015-12-07,85.0
2015-12-08,58.0
2015-12-09,57.0
2015-12-10,65.0
2015-12-11,57.0
2015-12-12,61.0
2015-12-13,45.0
2015-12-14,48.0
2015-12-15,47.0
2015-12-16,95.0
2015-12-17,48.0
2015-12-18,71.0
2015-12-19,42.0
2015-12-20,57.0
2015-12-21,58.0
2015-12-22,50.0
2015-12-23,58.0
2015-12-24,42.0
2015-12-25,58.0
2015-12-26,46.0
2015-12-27,34.0
2015-12-28,56.0
2015-12-29,40.0
2015-12-30,30.0
2015-12-31,52.0
2016-01-01,67.0
2016-01-02,75.0
2016-01-03,69.0
2016-01-04,66.0
2016-01-05,78.0
2016-01-06,46.0
