Date,Volume
2015-11-01,77.0
2015-11-02,85.0
2015-11-03,62.0
2015-11-04,55.0
2015-11-05,63.0
2015-11-06,70.0
2015-11-07,65.0
2015-11-08,77.0
2015-11-09,89.0
2015-11-10,84.0
2015-11-11,80.0
2015-11-12,91.0
2015-11-13,68.0
2015-11-14,65.0
2015-11-15,90.0
2015-11-16,100.0
2015-11-17,68.0
2015-11-18,80.0
2015-11-19,63.0
2015-11-20,79.0
2015-11-21,82.0
2015-11-22,44.0
2015-11-23,64.0
2015-11-24,66.0
2015-11-25,51.0
2015-11-26,47.0
2015-11-27,47.0
2015-11-28,88.0
2015-11-29,66.0
2015-11-30,67.0
2015-12-01,89.0
2015-12-02,66.0
2015-12-03,69.0
2015-12-04,74.0
2015-12-05,66.0
2015-12-06,49.0
2015-12-07,76.0
2015-12-08,67.0
2015-12-09,78.0
2015-12-10,61.0
2015-12-11,68.0
2015-12-12,66.0
2015-12-13,64.0
2015-12-14,51.0
2015-12-15,58.0
2015-12-16,79.0
2015-12-17,50.0
2015-12-18,67.0
2015-12-19,61.0
2015-12-20,52.0
2015-12-21,40.0
2015-12-22,39.0
2015-12-23,50.0
2015-12-24,39.0
2015-12-25,82.0
2015-12-26,45.0
2015-12-27,36.0
2015-12-28,68.0
2015-12-29,53.0
2015-12-30,40.0
2015-12-31,60.0
2016-01-01,24.0
2016-01-02,19.0
2016-01-03,19.0
2016-01-04,24.0
2016-01-05,33.0
2016-01-06,17.0
