Date,Volume
2015-11-01,50.0
2015-11-02,73.0
2015-11-03,63.0
2015-11-04,72.0
2015-11-05,52.0
2015-11-06,52.0
2015-11-07,65.0
2015-11-08,71.0
2015-11-09,94.0
2015-11-10,97.0
2015-11-11,81.0
2015-11-12,94.0
2015-11-13,67.0
2015-11-14,62.0
2015-11-15,86.0
2015-11-16,75.0
2015-11-17,85.0
2015-11-18,74.0
2015-11-19,83.0
2015-11-20,66.0
2015-11-21,80.0
2015-11-22,57.0
2015-11-23,80.0
2015-11-24,72.0
2015-11-25,71.0
2015-11-26,64.0
2015-11-27,79.0
2015-11-28,100.0
2015-11-29,77.0
2015-11-30,80.0
2015-12-01,96.0
2015-12-02,65.0
2015-12-03,73.0
2015-12-04,68.0
2015-12-05,86.0
2015-12-06,69.0
2015-12-07,90.0
2015-12-08,70.0
2015-12-09,67.0
2015-12-10,78.0
2015-12-11,84.0
2015-12-12,68.0
2015-12-13,66.0
2015-12-14,64.0
2015-12-15,79.0
2015-12-16,91.0
2015-12-17,51.0
2015-12-18,79.0
2015-12-19,53.0
2015-12-20,64.0
2015-12-21,47.0
2015-12-22,59.0
2015-12-23,72.0
2015-12-24,51.0
2015-12-25,78.0
2015-12-26,41.0
2015-12-27,59.0
2015-12-28,66.0
2015-12-29,48.0
2015-12-30,49.0
2015-12-31,82.0
2016-01-01,16.0
2016-01-02,15.0
2016-01-03,15.0
2016-01-04,20.0
2016-01-05,20.0
2016-01-06,15.0
