Date,Volume
2015-11-01,73.0
2015-11-02,71.0
2015-11-03,46.0
2015-11-04,44.0
2015-11-05,64.0
2015-11-06,72.0
2015-11-07,68.0
2015-11-08,71.0
2015-11-09,98.0
2015-11-10,71.0
2015-11-11,96.0
2015-11-12,86.0
2015-11-13,93.0
2015-11-14,80.0
2015-11-15,96.0
2015-11-16,98.0
2015-11-17,95.0
2015-11-18,78.0
2015-11-19,67.0
2015-11-20,59.0
2015-11-21,94.0
2015-11-22,56.0
2015-11-23,83.0
2015-11-24,68.0
2015-11-25,83.0
2015-11-26,62.0
2015-11-27,67.0
2015-11-28,94.0
2015-11-29,70.0
2015-11-30,81.0
2015-12-01,79.0
2015-12-02,71.0
2015-12-03,96.0
2015-12-04,100.0
2015-12-05,58.0
2015-12-06,65.0
2015-12-07,78.0
2015-12-08,79.0
2015-12-09,73.0
2015-12-10,70.0
2015-12-11,80.0
2015-12-12,81.0
2015-12-13,76.0
2015-12-14,58.0
2015-12-15,71.0
2015-12-16,99.0
2015-12-17,65.0
2015-12-18,71.0
2015-12-19,61.0
2015-12-20,40.0
2015-12-21,47.0
2015-12-22,67.0
2015-12-23,75.0
2015-12-24,68.0
2015-12-25,74.0
2015-12-26,40.0
2015-12-27,45.0
2015-12-28,72.0
2015-12-29,45.0
2015-12-30,65.0
2015-12-31,63.0
2016-01-01,30.0
2016-01-02,22.0
2016-01-03,20.0
2016-01-04,22.0
2016-01-05,33.0
2016-01-06,15.0
