Date,Volume
2015-11-01,66.0
2015-11-02,100.0
2015-11-03,50.0
2015-11-04,66.0
2015-11-05,63.0
2015-11-06,70.0
2015-11-07,58.0
2015-11-08,63.0
2015-11-09,78.0
2015-11-10,76.0
2015-11-11,74.0
2015-11-12,88.0
2015-11-13,50.0
2015-11-14,61.0
2015-11-15,82.0
2015-11-16,86.0
2015-11-17,85.0
2015-11-18,66.0
2015-11-19,86.0
2015-11-20,67.0
2015-11-21,74.0
2015-11-22,52.0
2015-11-23,64.0
2015-11-24,61.0
2015-11-25,67.0
2015-11-26,52.0
2015-11-27,55.0
2015-11-28,83.0
2015-11-29,79.0
2015-11-30,74.0
2015-12-01,79.0
2015-12-02,59.0
2015-12-03,86.0
2015-12-04,65.0
2015-12-05,56.0
2015-12-06,72.0
2015-12-07,62.0
2015-12-08,58.0
2015-12-09,76.0
2015-12-10,80.0
2015-12-11,80.0
2015-12-12,73.0
2015-12-13,55.0
2015-12-14,66.0
2015-12-15,57.0
2015-12-16,82.0
2015-12-17,56.0
2015-12-18,85.0
2015-12-19,59.0
2015-12-20,38.0
2015-12-21,51.0
2015-12-22,44.0
2015-12-23,51.0
2015-12-24,36.0
2015-12-25,58.0
2015-12-26,36.0
2015-12-27,50.0
2015-12-28,64.0
2015-12-29,60.0
2015-12-30,40.0
2015-12-31,59.0
2016-01-01,23.0
2016-01-02,25.0
2016-01-03,43.0
2016-01-04,33.0
2016-01-05,43.0
2016-01-06,20.0
