Date,Volume
2015-11-01,52.0
2015-11-02,82.0
2015-11-03,58.0
2015-11-04,45.0
2015-11-05,56.0
2015-11-06,61.0
2015-11-07,53.0
2015-11-08,58.0
2015-11-09,72.0
2015-11-10,74.0
2015-11-11,67.0
2015-11-12,84.0
2015-11-13,71.0
2015-11-14,48.0
2015-11-15,69.0
2015-11-16,84.0
2015-11-17,84.0
2015-11-18,77.0
2015-11-19,70.0
2015-11-20,83.0
2015-11-21,59.0
2015-11-22,75.0
2015-11-23,60.0
2015-11-24,72.0
2015-11-25,75.0
2015-11-26,50.0
2015-11-27,74.0
2015-11-28,89.0
2015-11-29,61.0
2015-11-30,45.0
2015-12-01,78.0
2015-12-02,67.0
2015-12-03,84.0
2015-12-04,60.0
2015-12-05,80.0
2015-12-06,61.0
2015-12-07,82.0
2015-12-08,88.0
2015-12-09,67.0
2015-12-10,73.0
2015-12-11,81.0
2015-12-12,68.0
2015-12-13,47.0
2015-12-14,71.0
2015-12-15,70.0
2015-12-16,100.0
2015-12-17,59.0
2015-12-18,72.0
2015-12-19,57.0
2015-12-20,60.0
2015-12-21,46.0
2015-12-22,53.0
2015-12-23,55.0
2015-12-24,61.0
2015-12-25,66.0
2015-12-26,24.0
2015-12-27,47.0
2015-12-28,50.0
2015-12-29,47.0
2015-12-30,51.0
2015-12-31,47.0
2016-01-01,23.0
2016-01-02,18.0
2016-01-03,32.0
2016-01-04,25.0
2016-01-05,29.0
2016-01-06,24.0
