Date,Volume
2015-11-01,85.0
2015-11-02,60.0
2015-11-03,48.0
2015-11-04,48.0
2015-11-05,57.0
2015-11-06,65.0
2015-11-07,30.0
2015-11-08,75.0
2015-11-09,96.0
2015-11-10,65.0
2015-11-11,82.0
2015-11-12,84.0
2015-11-13,72.0
2015-11-14,76.0
2015-11-15,75.0
2015-11-16,85.0
2015-11-17,81.0
2015-11-18,93.0
2015-11-19,69.0
2015-11-20,47.0
2015-11-21,82.0
2015-11-22,55.0
2015-11-23,62.0
2015-11-24,67.0
2015-11-25,82.0
2015-11-26,56.0
2015-11-27,75.0
2015-11-28,89.0
2015-11-29,88.0
2015-11-30,69.0
2015-12-01,94.0
2015-12-02,56.0
2015-12-03,96.0
2015-12-04,86.0
2015-12-05,74.0
2015-12-06,82.0
2015-12-07,85.0
2015-12-08,63.0
2015-12-09,71.0
2015-12-10,60.0
2015-12-11,92.0
2015-12-12,60.0
2015-12-13,59.0
2015-12-14,87.0
2015-12-15,65.0
2015-12-16,100.0
2015-12-17,39.0
2015-12-18,69.0
2015-12-19,64.0
2015-12-20,53.0
2015-12-21,70.0
2015-12-22,43.0
2015-12-23,51.0
2015-12-24,46.0
2015-12-25,54.0
2015-12-26,53.0
2015-12-27,63.0
2015-12-28,98.0
2015-12-29,34.0
2015-12-30,38.0
2015-12-31,66.0
2016-01-01,28.0
2016-01-02,17.0
2016-01-03,33.0
2016-01-04,32.0
2016-01-05,43.0
2016-01-06,21.0
